,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Dmitry Kulikov,D,2009-2010,FLA,68,3,13,16,-5,32,1,10,0,0,0,0,87,3.45,0
1,Dmitry Kulikov,D,2010-2011,FLA,72,6,20,26,-5,45,1,5,0,0,1,1,83,7.23,0
2,Dmitry Kulikov,D,2011-2012,FLA,58,4,24,28,-5,36,2,10,0,0,1,0,104,3.85,0
3,Dmitry Kulikov,D,2012-2013,FLA,34,3,7,10,-5,22,2,6,0,0,2,1,52,5.77,0
4,Dmitry Kulikov,D,2013-2014,FLA,81,8,11,19,-26,66,2,5,1,1,0,0,127,6.3,0
5,Dmitry Kulikov,D,2014-2015,FLA,73,3,19,22,0,48,1,6,0,1,0,0,83,3.61,0
6,Dmitry Kulikov,D,2015-2016,FLA,74,1,16,17,8,51,0,6,0,0,1,0,99,1.01,0
7,Dmitry Kulikov,D,2016-2017,BUF,47,2,3,5,-26,26,1,3,0,0,0,0,42,4.76,0
8,Dmitry Kulikov,D,2017-2018,WPG,62,3,8,11,6,22,0,0,0,0,1,0,48,6.25,0
9,Dmitry Kulikov,D,2018-2019,WPG,57,0,6,6,4,47,0,0,0,0,0,0,40,0,0
10,Dmitry Kulikov,D,2019-2020,WPG,51,2,8,10,-4,32,0,0,0,0,1,0,54,3.7,0
11,Dmitry Kulikov,D,2020-2021,NJD,38,0,2,2,-4,26,0,0,0,0,0,0,43,0,0
12,Dmitry Kulikov,D,2020-2021,EDM,10,0,2,2,1,2,0,0,0,0,0,0,8,0,0
13,Dmitry Kulikov,D,2021-2022,MIN,80,7,17,24,23,39,0,0,0,0,2,1,74,9.5,0
14,Dmitry Kulikov,D,2022-2023,ANA,35,2,7,9,-10,24,0,0,0,0,0,0,46,4.3,0
