,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Frank Vatrano,RW,2015-2016,BOS,39,8,3,11,-3,14,0,0,0,0,1,1,99,8.08,0
1,Frank Vatrano,RW,2016-2017,BOS,44,10,8,18,-3,14,4,5,0,0,1,0,116,8.62,28.57
2,Frank Vatrano,RW,2017-2018,BOS,25,2,0,2,-3,22,0,0,0,0,0,0,42,4.76,42.86
3,Frank Vatrano,RW,2017-2018,FLA,16,5,3,8,6,12,0,0,0,0,0,0,30,16.67,80
4,Frank Vatrano,RW,2018-2019,FLA,81,24,15,39,-10,38,2,8,0,0,1,0,208,11.54,39.47
5,Frank Vatrano,RW,2019-2020,FLA,69,16,18,34,-8,30,2,2,2,2,4,0,162,9.9,30
6,Frank Vatrano,RW,2020-2021,FLA,56,18,8,26,8,26,2,4,0,0,7,3,158,11.4,20
7,Frank Vatrano,RW,2021-2022,FLA,49,10,9,19,-2,16,1,2,0,0,2,1,105,9.5,40.91
8,Frank Vatrano,RW,2021-2022,NYR,22,8,5,13,6,6,0,0,0,0,1,0,56,14.3,100
9,Frank Vatrano,RW,2022-2023,ANA,35,6,9,15,-12,26,1,2,0,0,0,0,106,5.7,12.5
