,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jayson Megna,C,2013-2014,PIT,36,5,4,9,1,6,0,0,0,0,2,0,36,13.89,20
1,Jayson Megna,C,2014-2015,PIT,12,0,1,1,-2,14,0,0,0,0,0,0,13,0,0
2,Jayson Megna,C,2015-2016,NYR,6,1,1,2,-1,2,0,0,0,0,0,0,9,11.11,100
3,Jayson Megna,C,2016-2017,VAN,58,4,4,8,-4,6,0,1,0,0,0,0,72,5.56,12.5
4,Jayson Megna,C,2017-2018,VAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Jayson Megna,C,2019-2020,COL,8,0,0,0,-1,2,0,0,0,0,0,0,4,0,0
6,Jayson Megna,C,2020-2021,COL,7,0,2,2,2,0,0,0,0,0,0,0,12,0,54.55
7,Jayson Megna,C,2021-2022,COL,20,0,3,3,-2,4,0,0,0,0,0,0,19,0,48.28
8,Jayson Megna,C,2022-2023,COL,14,0,0,0,-2,2,0,0,0,0,0,0,4,0,50.7
9,Jayson Megna,C,2022-2023,ANA,8,0,1,1,-6,2,0,0,0,0,0,0,6,0,40
