,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nathan Beaulieu,D,2012-2013,MTL,6,0,2,2,5,0,0,0,0,0,0,0,8,0,0
1,Nathan Beaulieu,D,2013-2014,MTL,17,0,2,2,6,8,0,0,0,0,0,0,15,0,0
2,Nathan Beaulieu,D,2014-2015,MTL,64,1,8,9,6,45,0,2,0,0,0,0,62,1.61,0
3,Nathan Beaulieu,D,2015-2016,MTL,64,2,17,19,-6,55,1,3,0,0,0,0,74,2.7,0
4,Nathan Beaulieu,D,2016-2017,MTL,74,4,24,28,8,44,2,12,0,0,1,0,118,3.39,0
5,Nathan Beaulieu,D,2017-2018,BUF,59,1,8,9,-19,36,0,1,0,0,0,0,67,1.49,0
6,Nathan Beaulieu,D,2018-2019,BUF,30,3,4,7,1,32,0,1,0,0,0,0,35,8.57,0
7,Nathan Beaulieu,D,2018-2019,WPG,18,0,5,5,5,7,0,0,0,0,0,0,25,0,0
8,Nathan Beaulieu,D,2019-2020,WPG,38,1,7,8,15,29,0,0,0,0,1,0,38,2.6,0
9,Nathan Beaulieu,D,2020-2021,WPG,25,0,1,1,-5,20,0,0,0,0,0,0,26,0,0
10,Nathan Beaulieu,D,2021-2022,WPG,24,0,4,4,-7,25,0,0,0,1,0,0,24,0,0
11,Nathan Beaulieu,D,2022-2023,ANA,21,0,3,3,-11,30,0,0,0,0,0,0,10,0,0
