,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nick Bjugstad,C,2012-2013,FLA,11,1,0,1,-8,2,0,0,0,0,0,0,17,5.88,40.15
1,Nick Bjugstad,C,2013-2014,FLA,76,16,22,38,-14,16,0,3,1,2,4,0,185,8.65,48.89
2,Nick Bjugstad,C,2014-2015,FLA,72,24,19,43,-7,38,7,12,0,0,3,0,207,11.59,48.89
3,Nick Bjugstad,C,2015-2016,FLA,67,15,19,34,-8,41,6,15,0,0,3,0,171,8.77,51.73
4,Nick Bjugstad,C,2016-2017,FLA,54,7,7,14,-19,22,1,3,0,0,1,0,91,7.69,47.57
5,Nick Bjugstad,C,2017-2018,FLA,82,19,30,49,5,41,1,7,0,0,1,0,230,8.26,51.01
6,Nick Bjugstad,C,2018-2019,FLA,32,5,7,12,2,16,1,3,0,0,1,0,60,8.33,50.99
7,Nick Bjugstad,C,2018-2019,PIT,32,9,5,14,4,14,1,3,0,0,1,0,94,9.57,48.48
8,Nick Bjugstad,C,2019-2020,PIT,13,1,1,2,3,8,0,0,0,0,0,0,18,5.6,39.58
9,Nick Bjugstad,C,2020-2021,MIN,44,6,11,17,7,17,0,1,0,0,3,0,78,7.7,46.3
10,Nick Bjugstad,C,2021-2022,MIN,57,7,6,13,-2,20,1,1,0,0,0,0,81,8.6,55.29
11,Nick Bjugstad,C,2022-2023,ARI,32,7,5,12,6,8,0,0,1,1,0,0,57,12.3,45.83
