,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nick Ritchie,LW,2015-2016,ANA,33,2,2,4,-2,37,0,0,0,0,0,0,55,3.64,33.33
1,Nick Ritchie,LW,2016-2017,ANA,77,14,14,28,4,62,1,2,0,0,3,0,149,9.4,50
2,Nick Ritchie,LW,2017-2018,ANA,76,10,17,27,3,72,1,3,0,0,2,0,122,8.2,35.29
3,Nick Ritchie,LW,2018-2019,ANA,60,9,22,31,6,82,2,9,0,0,2,0,96,9.38,33.33
4,Nick Ritchie,LW,2019-2020,ANA,41,8,11,19,3,78,2,3,0,0,2,0,70,11.4,12.5
5,Nick Ritchie,LW,2019-2020,BOS,7,1,1,2,-2,19,0,0,0,0,0,0,8,12.5,0
6,Nick Ritchie,LW,2020-2021,BOS,56,15,11,26,-7,37,5,9,0,0,2,0,121,12.4,0
7,Nick Ritchie,LW,2021-2022,TOR,33,2,7,9,-6,23,1,4,0,0,0,0,52,3.8,0
8,Nick Ritchie,LW,2021-2022,ARI,24,10,4,14,-7,20,0,0,0,0,0,0,41,24.4,0
9,Nick Ritchie,LW,2022-2023,ARI,29,7,6,13,-7,26,4,7,0,0,2,0,40,17.5,25
