,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Zack Kassian,RW,2011-2012,BUF,27,3,4,7,-1,20,0,1,0,0,0,0,36,8.33,50
1,Zack Kassian,RW,2011-2012,VAN,17,1,2,3,-1,31,0,0,0,0,0,0,18,5.56,44.44
2,Zack Kassian,RW,2012-2013,VAN,39,7,4,11,-7,51,2,3,0,0,1,0,49,14.29,42.86
3,Zack Kassian,RW,2013-2014,VAN,73,14,15,29,-4,124,1,1,0,0,2,0,91,15.38,28.57
4,Zack Kassian,RW,2014-2015,VAN,42,10,6,16,-5,81,1,1,0,0,3,0,55,18.18,0
5,Zack Kassian,RW,2015-2016,EDM,36,3,5,8,-7,114,0,0,0,0,0,0,42,7.14,25
6,Zack Kassian,RW,2016-2017,EDM,79,7,17,24,4,101,0,0,0,0,0,0,110,6.36,36.36
7,Zack Kassian,RW,2017-2018,EDM,74,7,12,19,-8,92,0,1,0,2,0,0,86,8.14,20.83
8,Zack Kassian,RW,2018-2019,EDM,79,15,11,26,-6,102,0,0,1,1,3,0,111,13.51,0
9,Zack Kassian,RW,2019-2020,EDM,59,15,19,34,0,69,0,0,0,0,1,0,99,15.2,33.33
10,Zack Kassian,RW,2020-2021,EDM,27,2,3,5,-4,15,0,0,0,0,0,0,18,11.1,0
11,Zack Kassian,RW,2021-2022,EDM,58,6,13,19,2,63,2,2,0,0,1,0,58,10.3,42.86
12,Zack Kassian,RW,2022-2023,ARI,16,1,0,1,-9,34,0,0,0,0,0,0,9,11.1,0
