,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nick Foligno,LW,2007-2008,OTT,45,6,3,9,0,20,0,0,0,0,0,0,44,13.64,44.9
1,Nick Foligno,LW,2008-2009,OTT,81,17,15,32,-10,59,7,14,0,0,2,0,145,11.72,44.68
2,Nick Foligno,LW,2009-2010,OTT,61,9,17,26,6,53,2,6,0,0,2,0,83,10.84,34
3,Nick Foligno,LW,2010-2011,OTT,82,14,20,34,-19,43,5,10,0,0,3,0,149,9.4,47.1
4,Nick Foligno,LW,2011-2012,OTT,82,15,32,47,2,124,1,4,0,0,3,0,153,9.8,41.61
5,Nick Foligno,LW,2012-2013,CBJ,45,6,13,19,6,28,1,3,0,0,2,1,69,8.7,33.33
6,Nick Foligno,LW,2013-2014,CBJ,70,18,21,39,5,96,3,6,0,0,5,0,111,16.22,46.15
7,Nick Foligno,LW,2014-2015,CBJ,79,31,42,73,16,50,11,26,0,0,3,1,182,17.03,47.53
8,Nick Foligno,LW,2015-2016,CBJ,72,12,25,37,-14,53,0,13,0,0,2,0,149,8.05,47.16
9,Nick Foligno,LW,2016-2017,CBJ,79,26,25,51,-4,55,11,21,0,0,5,1,185,14.05,46.07
10,Nick Foligno,LW,2017-2018,CBJ,72,15,18,33,1,50,2,4,0,0,1,0,137,10.95,45.88
11,Nick Foligno,LW,2018-2019,CBJ,73,17,18,35,12,44,2,4,0,0,2,0,141,12.06,56.6
12,Nick Foligno,LW,2019-2020,CBJ,67,10,21,31,-3,62,2,4,0,1,1,0,131,7.6,49.84
13,Nick Foligno,LW,2020-2021,CBJ,42,7,9,16,-3,28,1,2,0,3,0,0,73,9.6,47.11
14,Nick Foligno,LW,2020-2021,TOR,7,0,4,4,5,4,0,0,0,0,0,0,8,0,15.79
15,Nick Foligno,LW,2021-2022,BOS,64,2,11,13,-13,61,0,1,0,0,0,0,99,2,56.41
16,Nick Foligno,LW,2022-2023,BOS,33,6,10,16,8,26,2,5,0,0,1,0,40,15,61.54
