,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Patrice Bergeron,C,2003-2004,BOS,71,16,23,39,5,22,7,15,0,0,2,0,133,12.03,49.36
1,Patrice Bergeron,C,2005-2006,BOS,81,31,42,73,3,22,12,29,1,2,6,1,310,10,54.66
2,Patrice Bergeron,C,2006-2007,BOS,77,22,48,70,-28,26,14,38,0,2,6,1,224,9.82,51.15
3,Patrice Bergeron,C,2007-2008,BOS,10,3,4,7,2,2,2,3,0,0,0,0,24,12.5,50.29
4,Patrice Bergeron,C,2008-2009,BOS,64,8,31,39,2,16,1,14,1,3,1,0,155,5.16,54.54
5,Patrice Bergeron,C,2009-2010,BOS,73,19,33,52,6,28,0,8,1,2,4,2,184,10.33,57.97
6,Patrice Bergeron,C,2010-2011,BOS,80,22,35,57,20,26,3,11,2,3,4,0,211,10.43,56.64
7,Patrice Bergeron,C,2011-2012,BOS,81,22,42,64,36,20,5,14,2,3,3,0,191,11.52,59.29
8,Patrice Bergeron,C,2012-2013,BOS,42,10,22,32,24,18,2,4,0,1,3,1,125,8,62.1
9,Patrice Bergeron,C,2013-2014,BOS,80,30,32,62,38,43,7,11,1,4,7,0,243,12.35,58.6
10,Patrice Bergeron,C,2014-2015,BOS,81,23,32,55,2,44,4,14,1,2,4,1,234,9.83,60.23
11,Patrice Bergeron,C,2015-2016,BOS,80,32,36,68,12,49,12,25,1,3,6,0,282,11.35,57.13
12,Patrice Bergeron,C,2016-2017,BOS,79,21,32,53,12,24,8,17,0,3,7,0,302,6.95,60.1
13,Patrice Bergeron,C,2017-2018,BOS,64,30,33,63,21,26,10,21,2,3,6,0,224,13.39,57.31
14,Patrice Bergeron,C,2018-2019,BOS,65,32,47,79,23,30,9,27,4,7,3,1,205,15.61,56.59
15,Patrice Bergeron,C,2019-2020,BOS,61,31,25,56,23,28,11,20,1,1,5,1,203,15.3,57.89
16,Patrice Bergeron,C,2020-2021,BOS,54,23,25,48,27,16,7,13,3,4,3,1,182,12.6,62.25
17,Patrice Bergeron,C,2021-2022,BOS,73,25,40,65,26,32,8,23,0,3,4,0,293,8.5,61.94
18,Patrice Bergeron,C,2022-2023,BOS,33,13,14,27,19,4,5,10,0,0,2,0,110,11.8,61.09
