,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Taylor Hall,LW,2010-2011,EDM,65,22,20,42,-9,27,8,11,0,0,4,1,186,11.83,40
1,Taylor Hall,LW,2011-2012,EDM,61,27,26,53,-3,36,13,21,0,0,7,2,207,13.04,40.35
2,Taylor Hall,LW,2012-2013,EDM,45,16,34,50,5,33,4,14,0,0,4,0,154,10.39,54.72
3,Taylor Hall,LW,2013-2014,EDM,75,27,53,80,-15,44,7,17,0,1,1,1,250,10.8,45.68
4,Taylor Hall,LW,2014-2015,EDM,53,14,24,38,-1,40,3,6,0,0,0,0,158,8.86,45.92
5,Taylor Hall,LW,2015-2016,EDM,82,26,39,65,-4,54,4,12,0,0,6,1,286,9.09,35.9
6,Taylor Hall,LW,2016-2017,NJD,72,20,33,53,-9,32,7,15,0,0,4,2,238,8.4,44.44
7,Taylor Hall,LW,2017-2018,NJD,76,39,54,93,14,34,13,37,1,1,7,3,278,14.03,48.65
8,Taylor Hall,LW,2018-2019,NJD,33,11,26,37,-6,16,1,12,0,0,3,0,113,9.73,44.83
9,Taylor Hall,LW,2019-2020,NJD,30,6,19,25,-11,20,2,12,0,0,0,0,109,5.5,46.43
10,Taylor Hall,LW,2019-2020,ARI,35,10,17,27,-3,14,2,6,0,0,1,0,123,8.1,30.43
11,Taylor Hall,LW,2020-2021,BUF,37,2,17,19,-21,24,1,6,0,0,0,0,88,2.3,18.18
12,Taylor Hall,LW,2020-2021,BOS,16,8,6,14,15,2,1,2,0,0,1,1,48,16.7,83.33
13,Taylor Hall,LW,2021-2022,BOS,81,20,41,61,11,42,7,15,0,0,3,1,217,9.2,46.15
14,Taylor Hall,LW,2022-2023,BOS,33,13,14,27,11,16,3,5,0,0,5,1,91,14.3,33.33
