,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jeff Skinner,LW,2010-2011,CAR,82,31,32,63,3,46,6,18,0,0,2,0,215,14.42,36.94
1,Jeff Skinner,LW,2011-2012,CAR,64,20,24,44,-8,56,4,13,0,0,5,0,210,9.52,42.14
2,Jeff Skinner,LW,2012-2013,CAR,42,13,11,24,-21,26,5,9,0,0,0,0,159,8.18,47.73
3,Jeff Skinner,LW,2013-2014,CAR,71,33,21,54,-14,22,11,20,0,0,6,1,274,12.04,45.1
4,Jeff Skinner,LW,2014-2015,CAR,77,18,13,31,-24,18,4,7,0,0,2,0,235,7.66,45.65
5,Jeff Skinner,LW,2015-2016,CAR,82,28,23,51,-2,38,4,7,0,0,7,1,258,10.85,42.55
6,Jeff Skinner,LW,2016-2017,CAR,79,37,26,63,-3,28,7,15,0,0,4,0,281,13.17,37.04
7,Jeff Skinner,LW,2017-2018,CAR,82,24,25,49,-27,34,4,9,0,0,2,0,277,8.66,43.33
8,Jeff Skinner,LW,2018-2019,BUF,82,40,23,63,0,36,8,16,0,0,7,3,268,14.93,52.16
9,Jeff Skinner,LW,2019-2020,BUF,59,14,9,23,-22,18,0,3,0,0,1,0,183,7.7,37.21
10,Jeff Skinner,LW,2020-2021,BUF,53,7,7,14,-11,14,1,1,0,0,0,0,111,6.3,46.67
11,Jeff Skinner,LW,2021-2022,BUF,80,33,30,63,-14,42,5,11,0,0,4,0,262,12.6,40.63
12,Jeff Skinner,LW,2022-2023,BUF,29,16,20,36,13,25,5,11,0,0,0,0,93,17.2,48.28
