,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Antti Raanta,G,2013-2014,CHI,25,22,13,5,--,4,610,63,2.71,547,.897,1,"1,396:40"
1,Antti Raanta,G,2014-2015,CHI,14,12,7,4,--,1,389,25,1.89,364,.936,2,792:11
2,Antti Raanta,G,2015-2016,NYR,25,18,11,6,--,2,530,43,2.24,487,.919,1,"1,150:21"
3,Antti Raanta,G,2016-2017,NYR,30,26,16,8,--,2,782,61,2.26,721,.922,4,"1,617:20"
4,Antti Raanta,G,2017-2018,ARI,47,46,21,17,0,6,"1,388",97,2.24,"1,291",.930,3,"2,599:07"
5,Antti Raanta,G,2018-2019,ARI,12,12,5,6,0,0,351,33,2.88,318,.906,0,687:06
6,Antti Raanta,G,2019-2020,ARI,33,32,15,14,0,3,"1,014",80,2.63,934,.921,2,"1,822:54"
7,Antti Raanta,G,2020-2021,ARI,12,11,5,5,0,2,401,38,3.36,363,.905,0,678:50
8,Antti Raanta,G,2021-2022,CAR,28,26,15,5,0,4,706,62,2.45,644,.912,2,"1,516:38"
9,Antti Raanta,G,2022-2023,CAR,12,12,7,2,0,2,306,35,2.96,271,.886,0,708:47
