,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Calvin de Haan,D,2011-2012,NYI,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0
1,Calvin de Haan,D,2013-2014,NYI,51,3,13,16,-7,30,1,3,0,0,1,0,71,4.23,0
2,Calvin de Haan,D,2014-2015,NYI,65,1,11,12,3,24,0,1,1,1,0,0,92,1.09,0
3,Calvin de Haan,D,2015-2016,NYI,72,2,14,16,3,20,0,1,0,0,0,0,102,1.96,0
4,Calvin de Haan,D,2016-2017,NYI,82,5,20,25,15,36,1,2,0,0,1,0,116,4.31,0
5,Calvin de Haan,D,2017-2018,NYI,33,1,11,12,11,8,0,0,0,0,0,0,44,2.27,0
6,Calvin de Haan,D,2018-2019,CAR,74,1,13,14,1,20,0,0,0,0,1,0,102,0.98,0
7,Calvin de Haan,D,2019-2020,CHI,29,1,5,6,10,10,0,0,0,0,0,0,42,2.4,0
8,Calvin de Haan,D,2020-2021,CHI,44,1,9,10,-16,14,0,1,0,0,1,0,58,1.7,0
9,Calvin de Haan,D,2021-2022,CHI,69,4,4,8,-21,33,0,0,0,0,0,0,107,3.7,0
10,Calvin de Haan,D,2022-2023,CAR,27,1,5,6,0,12,0,0,0,0,0,0,23,4.3,0
