,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Derek Stepan,C,2010-2011,NYR,82,21,24,45,8,20,3,10,0,0,3,0,166,12.65,38.53
1,Derek Stepan,C,2011-2012,NYR,82,17,34,51,14,22,4,16,0,0,4,1,169,10.06,44.52
2,Derek Stepan,C,2012-2013,NYR,48,18,26,44,25,12,4,10,1,4,6,0,108,16.67,45.85
3,Derek Stepan,C,2013-2014,NYR,82,17,40,57,12,18,5,18,0,3,2,0,199,8.54,45.17
4,Derek Stepan,C,2014-2015,NYR,68,16,39,55,26,22,3,10,2,5,3,1,155,10.32,44.07
5,Derek Stepan,C,2015-2016,NYR,72,22,31,53,5,20,5,14,3,3,5,0,192,11.46,46.69
6,Derek Stepan,C,2016-2017,NYR,81,17,38,55,19,16,4,18,1,1,2,0,209,8.13,47.04
7,Derek Stepan,C,2017-2018,ARI,82,14,42,56,-7,26,3,18,2,2,2,0,209,6.7,47.74
8,Derek Stepan,C,2018-2019,ARI,72,15,20,35,-2,14,1,3,3,3,3,1,195,7.69,47.31
9,Derek Stepan,C,2019-2020,ARI,70,10,18,28,-4,16,1,7,1,1,2,1,158,6.3,47.54
10,Derek Stepan,C,2020-2021,OTT,20,1,5,6,-6,8,0,2,0,0,0,0,44,2.3,50
11,Derek Stepan,C,2021-2022,CAR,58,9,10,19,0,14,0,0,0,0,0,0,96,9.4,55.86
12,Derek Stepan,C,2022-2023,CAR,31,2,2,4,4,4,0,0,0,0,0,0,48,4.2,53.11
