,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jesper Fast,RW,2013-2014,NYR,11,0,0,0,-5,2,0,0,0,0,0,0,7,0,0
1,Jesper Fast,RW,2014-2015,NYR,58,6,8,14,-1,8,0,1,0,0,0,0,52,11.54,20
2,Jesper Fast,RW,2015-2016,NYR,79,10,20,30,9,18,0,0,0,0,3,0,75,13.33,16.67
3,Jesper Fast,RW,2016-2017,NYR,68,6,15,21,6,16,0,0,0,0,1,0,56,10.71,38.64
4,Jesper Fast,RW,2017-2018,NYR,71,13,20,33,-10,26,0,0,0,2,0,0,80,16.25,36.84
5,Jesper Fast,RW,2018-2019,NYR,66,8,12,20,-3,26,0,0,0,0,1,0,80,10,35
6,Jesper Fast,RW,2019-2020,NYR,69,12,17,29,16,20,0,0,2,2,1,0,84,14.3,34.62
7,Jesper Fast,RW,2020-2021,CAR,46,6,13,19,-4,14,1,4,0,0,1,0,38,15.8,34.21
8,Jesper Fast,RW,2021-2022,CAR,82,14,20,34,24,4,1,2,0,1,1,0,97,14.4,41.38
9,Jesper Fast,RW,2022-2023,CAR,32,4,9,13,7,4,0,0,0,1,1,0,30,13.3,57.14
