,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Teuvo Teravainen,LW,2013-2014,CHI,3,0,0,0,0,0,0,0,0,0,0,0,4,0,52
1,Teuvo Teravainen,LW,2014-2015,CHI,34,4,5,9,4,2,0,1,0,0,1,0,66,6.06,46.77
2,Teuvo Teravainen,LW,2015-2016,CHI,78,13,22,35,-2,20,2,9,0,1,3,0,136,9.56,40.45
3,Teuvo Teravainen,LW,2016-2017,CAR,81,15,27,42,-6,16,5,15,0,0,2,1,169,8.88,46.73
4,Teuvo Teravainen,LW,2017-2018,CAR,82,23,41,64,8,14,5,20,0,0,3,0,185,12.43,30.61
5,Teuvo Teravainen,LW,2018-2019,CAR,82,21,55,76,30,12,8,24,1,5,1,1,167,12.57,41.86
6,Teuvo Teravainen,LW,2019-2020,CAR,68,15,48,63,20,8,4,21,1,4,1,0,182,8.2,49.06
7,Teuvo Teravainen,LW,2020-2021,CAR,21,5,10,15,5,4,0,2,0,0,2,0,49,10.2,65
8,Teuvo Teravainen,LW,2021-2022,CAR,77,22,43,65,22,24,9,31,2,3,2,0,202,10.9,54.55
9,Teuvo Teravainen,LW,2022-2023,CAR,24,2,10,12,0,4,1,4,1,1,0,0,55,3.6,61.11
