,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Gustav Nyquist,LW,2011-2012,DET,18,1,6,7,2,2,0,0,0,0,0,0,19,5.26,0
1,Gustav Nyquist,LW,2012-2013,DET,22,3,3,6,0,6,0,2,0,0,0,0,46,6.52,25
2,Gustav Nyquist,LW,2013-2014,DET,57,28,20,48,16,10,6,9,0,0,6,1,153,18.3,55.56
3,Gustav Nyquist,LW,2014-2015,DET,82,27,27,54,-11,26,14,24,0,0,4,1,195,13.85,11.11
4,Gustav Nyquist,LW,2015-2016,DET,82,17,26,43,-2,34,7,12,0,0,3,2,161,10.56,0
5,Gustav Nyquist,LW,2016-2017,DET,76,12,36,48,0,18,2,9,0,0,2,0,165,7.27,80
6,Gustav Nyquist,LW,2017-2018,DET,82,21,19,40,-2,20,3,8,0,0,2,0,213,9.86,46.15
7,Gustav Nyquist,LW,2018-2019,DET,62,16,33,49,0,8,1,11,0,0,2,1,163,9.82,44.44
8,Gustav Nyquist,LW,2018-2019,SJS,19,6,5,11,1,4,1,1,0,0,1,0,41,14.63,75
9,Gustav Nyquist,LW,2019-2020,CBJ,70,15,27,42,4,16,3,9,1,1,3,1,151,9.9,51.52
10,Gustav Nyquist,LW,2021-2022,CBJ,82,18,35,53,-12,26,4,10,4,4,0,0,122,14.8,46.67
11,Gustav Nyquist,LW,2022-2023,CBJ,33,6,10,16,-9,14,0,0,0,0,0,0,61,9.8,40
