,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jakub Voracek,RW,2008-2009,CBJ,80,9,29,38,11,44,0,4,0,0,1,0,101,8.91,0
1,Jakub Voracek,RW,2009-2010,CBJ,81,16,34,50,-7,26,4,13,0,0,1,0,154,10.39,33.33
2,Jakub Voracek,RW,2010-2011,CBJ,80,14,32,46,-3,26,2,8,0,0,2,2,183,7.65,36.92
3,Jakub Voracek,RW,2011-2012,PHI,78,18,31,49,11,32,0,11,0,0,2,0,190,9.47,30.43
4,Jakub Voracek,RW,2012-2013,PHI,48,22,24,46,-7,35,8,17,0,0,3,0,129,17.05,40
5,Jakub Voracek,RW,2013-2014,PHI,82,23,39,62,11,22,8,23,0,0,2,0,235,9.79,66.67
6,Jakub Voracek,RW,2014-2015,PHI,82,22,59,81,1,78,11,33,0,0,3,2,221,9.95,66.67
7,Jakub Voracek,RW,2015-2016,PHI,73,11,44,55,-5,38,1,23,0,0,2,2,213,5.16,50
8,Jakub Voracek,RW,2016-2017,PHI,82,20,41,61,-24,56,5,23,0,0,3,2,253,7.91,21.43
9,Jakub Voracek,RW,2017-2018,PHI,82,20,65,85,10,50,5,35,0,0,3,1,228,8.77,44.12
10,Jakub Voracek,RW,2018-2019,PHI,78,20,46,66,-16,25,4,18,0,0,2,0,210,9.52,40
11,Jakub Voracek,RW,2019-2020,PHI,69,12,44,56,14,31,4,17,0,0,3,1,132,9.1,35
12,Jakub Voracek,RW,2020-2021,PHI,53,9,34,43,-12,18,0,8,0,0,2,1,104,8.7,41.18
13,Jakub Voracek,RW,2021-2022,CBJ,79,6,56,62,-13,44,2,25,0,0,2,1,147,4.1,15.15
14,Jakub Voracek,RW,2022-2023,CBJ,11,1,5,6,-7,0,1,1,0,0,0,0,17,5.9,33.33
