,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Elias Lindholm,C,2013-2014,CAR,58,9,12,21,-14,4,4,7,0,0,2,0,70,12.86,46.29
1,Elias Lindholm,C,2014-2015,CAR,81,17,22,39,-23,14,4,15,0,0,4,1,170,10,52.27
2,Elias Lindholm,C,2015-2016,CAR,82,11,28,39,-23,24,2,16,0,0,3,0,176,6.25,49.08
3,Elias Lindholm,C,2016-2017,CAR,72,11,34,45,-2,16,2,11,1,5,0,0,151,7.28,55.59
4,Elias Lindholm,C,2017-2018,CAR,81,16,28,44,-8,18,6,9,0,1,4,1,153,10.46,54.48
5,Elias Lindholm,C,2018-2019,CGY,81,27,51,78,30,20,9,26,1,4,5,0,182,14.84,54.32
6,Elias Lindholm,C,2019-2020,CGY,70,29,25,54,-8,22,8,19,0,0,7,1,169,17.2,49.31
7,Elias Lindholm,C,2020-2021,CGY,56,19,28,47,10,22,6,16,0,1,4,1,130,14.6,51.36
8,Elias Lindholm,C,2021-2022,CGY,82,42,40,82,61,22,10,19,1,2,9,2,235,17.9,52.89
9,Elias Lindholm,C,2022-2023,CGY,34,11,21,32,2,8,5,9,0,1,1,0,82,13.4,55.73
