,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Jacob Markstrom,G,2010-2011,FLA,1,0,0,1,--,0,14,2,3.01,12,.857,0,39:49
1,Jacob Markstrom,G,2011-2012,FLA,7,6,2,4,--,1,222,17,2.66,205,.923,0,383:15
2,Jacob Markstrom,G,2012-2013,FLA,23,23,8,14,--,1,685,68,3.22,617,.901,0,"1,265:45"
3,Jacob Markstrom,G,2013-2014,FLA,12,9,1,6,--,3,285,36,3.52,249,.874,0,613:47
4,Jacob Markstrom,G,2013-2014,VAN,4,3,1,2,--,0,76,10,3.01,66,.868,0,199:34
5,Jacob Markstrom,G,2014-2015,VAN,3,2,1,1,--,0,33,4,3.09,29,.879,0,77:38
6,Jacob Markstrom,G,2015-2016,VAN,33,30,13,14,--,4,988,84,2.73,904,.915,0,"1,847:26"
7,Jacob Markstrom,G,2016-2017,VAN,26,23,10,11,--,3,692,62,2.63,630,.910,0,"1,416:58"
8,Jacob Markstrom,G,2017-2018,VAN,60,57,23,26,0,7,"1,745",154,2.71,"1,591",.912,2,"3,413:43"
9,Jacob Markstrom,G,2018-2019,VAN,60,60,28,23,0,9,"1,896",166,2.77,"1,730",.912,1,"3,599:01"
10,Jacob Markstrom,G,2019-2020,VAN,43,43,23,16,0,4,"1,420",117,2.75,"1,303",.918,2,"2,551:53"
11,Jacob Markstrom,G,2020-2021,CGY,43,43,22,19,0,2,"1,161",111,2.68,"1,050",.904,3,"2,487:56"
12,Jacob Markstrom,G,2021-2022,CGY,63,63,37,15,0,9,"1,754",137,2.22,"1,617",.922,9,"3,695:50"
13,Jacob Markstrom,G,2022-2023,CGY,24,24,11,8,0,4,632,67,2.84,565,.894,0,"1,414:05"
