,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Michael Stone,D,2011-2012,PHX,13,1,2,3,7,2,0,0,0,0,0,0,13,7.69,0
1,Michael Stone,D,2012-2013,PHX,40,5,4,9,2,16,1,2,0,0,0,0,50,10,0
2,Michael Stone,D,2013-2014,PHX,70,8,13,21,-10,38,2,6,0,1,1,0,105,7.62,0
3,Michael Stone,D,2014-2015,ARI,81,3,15,18,-24,60,0,5,0,0,0,0,144,2.08,100
4,Michael Stone,D,2015-2016,ARI,75,6,30,36,-10,62,0,14,0,0,1,0,161,3.73,0
5,Michael Stone,D,2016-2017,ARI,45,1,8,9,-5,12,1,5,0,0,0,0,57,1.75,100
6,Michael Stone,D,2016-2017,CGY,19,2,4,6,5,20,0,0,0,0,0,0,24,8.33,0
7,Michael Stone,D,2017-2018,CGY,82,3,7,10,-11,28,0,1,0,0,0,0,98,3.06,0
8,Michael Stone,D,2018-2019,CGY,14,0,5,5,0,10,0,0,0,0,0,0,12,0,0
9,Michael Stone,D,2019-2020,CGY,33,2,5,7,-5,16,0,0,0,0,0,0,57,3.5,0
10,Michael Stone,D,2020-2021,CGY,21,2,2,4,-1,6,0,0,0,0,0,0,41,4.9,0
11,Michael Stone,D,2021-2022,CGY,11,2,4,6,3,4,1,2,0,0,1,0,24,8.3,0
12,Michael Stone,D,2022-2023,CGY,25,4,4,8,5,12,0,2,0,0,0,0,47,8.5,0
