,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nazem Kadri,C,2009-2010,TOR,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,15.38
1,Nazem Kadri,C,2010-2011,TOR,29,3,9,12,-3,8,0,2,0,0,0,0,51,5.88,40.5
2,Nazem Kadri,C,2011-2012,TOR,21,5,2,7,2,8,1,1,0,0,1,0,28,17.86,26.67
3,Nazem Kadri,C,2012-2013,TOR,48,18,26,44,15,23,5,8,0,0,1,0,107,16.82,44.25
4,Nazem Kadri,C,2013-2014,TOR,78,20,30,50,-11,67,7,18,0,0,2,1,148,13.51,45.25
5,Nazem Kadri,C,2014-2015,TOR,73,18,21,39,-7,28,3,7,1,1,1,0,176,10.23,46.15
6,Nazem Kadri,C,2015-2016,TOR,76,17,28,45,-15,73,4,14,0,0,2,1,260,6.54,49.16
7,Nazem Kadri,C,2016-2017,TOR,82,32,29,61,-7,95,12,17,0,0,6,2,236,13.56,47.97
8,Nazem Kadri,C,2017-2018,TOR,80,32,23,55,2,42,12,19,0,0,3,0,211,15.17,49.95
9,Nazem Kadri,C,2018-2019,TOR,73,16,28,44,-2,43,4,13,0,0,5,0,184,8.7,55.21
10,Nazem Kadri,C,2019-2020,COL,51,19,17,36,7,97,4,11,0,0,1,0,133,14.3,56.76
11,Nazem Kadri,C,2020-2021,COL,56,11,21,32,-7,34,3,9,0,0,3,0,170,6.5,52.76
12,Nazem Kadri,C,2021-2022,COL,71,28,59,87,13,71,8,29,0,0,6,0,247,11.3,49.7
13,Nazem Kadri,C,2022-2023,CGY,35,13,13,26,-5,16,6,12,0,0,3,0,113,11.5,46.58
