,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Trevor Lewis,C,2008-2009,LAK,6,1,2,3,0,0,0,0,0,0,0,0,10,10,25
1,Trevor Lewis,C,2009-2010,LAK,5,0,0,0,-3,0,0,0,0,0,0,0,4,0,0
2,Trevor Lewis,C,2010-2011,LAK,72,3,10,13,-11,6,0,0,0,0,2,0,105,2.86,39.22
3,Trevor Lewis,C,2011-2012,LAK,72,3,4,7,-3,26,0,0,0,0,1,0,103,2.91,43.72
4,Trevor Lewis,C,2012-2013,LAK,48,5,9,14,5,19,0,0,1,2,2,0,92,5.43,48.44
5,Trevor Lewis,C,2013-2014,LAK,73,6,5,11,-1,6,0,0,1,1,2,0,111,5.41,48.47
6,Trevor Lewis,C,2014-2015,LAK,73,9,16,25,8,14,0,0,1,1,2,0,143,6.29,42.94
7,Trevor Lewis,C,2015-2016,LAK,75,8,8,16,-10,20,0,1,1,1,1,0,167,4.79,40.08
8,Trevor Lewis,C,2016-2017,LAK,82,12,12,24,-6,30,1,2,0,0,3,0,145,8.28,40
9,Trevor Lewis,C,2017-2018,LAK,68,14,12,26,-6,25,1,3,2,2,3,0,134,10.45,43.12
10,Trevor Lewis,C,2018-2019,LAK,44,3,9,12,-9,9,0,0,0,0,1,0,87,3.45,45.97
11,Trevor Lewis,C,2019-2020,LAK,56,6,6,12,-7,16,0,0,0,0,1,0,92,6.5,38.79
12,Trevor Lewis,C,2020-2021,WPG,56,5,5,10,7,2,0,0,2,2,1,0,68,7.4,57.89
13,Trevor Lewis,C,2021-2022,CGY,80,6,10,16,-1,12,0,1,1,1,1,0,108,5.6,42.31
14,Trevor Lewis,C,2022-2023,CGY,35,7,5,12,1,6,0,0,1,1,1,0,70,10,40.2
