,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tyler Toffoli,RW,2012-2013,LAK,10,2,3,5,3,2,1,2,0,0,0,0,20,10,0
1,Tyler Toffoli,RW,2013-2014,LAK,62,12,17,29,21,10,1,4,0,0,5,0,124,9.68,22.22
2,Tyler Toffoli,RW,2014-2015,LAK,76,23,26,49,25,37,3,5,5,6,3,0,200,11.5,44.44
3,Tyler Toffoli,RW,2015-2016,LAK,82,31,27,58,35,20,9,11,1,1,4,0,213,14.55,0
4,Tyler Toffoli,RW,2016-2017,LAK,63,16,18,34,6,22,4,7,0,1,2,1,165,9.7,40
5,Tyler Toffoli,RW,2017-2018,LAK,82,24,23,47,9,16,6,12,0,0,6,1,251,9.56,36
6,Tyler Toffoli,RW,2018-2019,LAK,82,13,21,34,-16,23,3,5,0,0,3,2,226,5.75,47.06
7,Tyler Toffoli,RW,2019-2020,LAK,58,18,16,34,-4,16,4,7,0,0,3,0,165,10.9,30.77
8,Tyler Toffoli,RW,2019-2020,VAN,10,6,4,10,3,4,1,3,0,0,1,1,38,15.8,0
9,Tyler Toffoli,RW,2020-2021,MTL,52,28,16,44,0,24,7,10,2,3,5,0,158,17.7,38.89
10,Tyler Toffoli,RW,2021-2022,MTL,37,9,17,26,-8,4,4,8,1,1,0,0,100,9,38.46
11,Tyler Toffoli,RW,2021-2022,CGY,37,11,12,23,3,10,4,8,1,2,1,0,95,11.6,61.9
12,Tyler Toffoli,RW,2022-2023,CGY,35,14,14,28,7,14,5,10,0,0,2,1,105,13.3,50
