,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jack Johnson,D,2006-2007,LAK,5,0,0,0,-5,18,0,0,0,0,0,0,5,0,0
1,Jack Johnson,D,2007-2008,LAK,74,3,8,11,-19,76,0,0,0,0,0,0,81,3.7,60
2,Jack Johnson,D,2008-2009,LAK,41,6,5,11,-18,46,3,6,0,0,0,0,50,12,0
3,Jack Johnson,D,2009-2010,LAK,80,8,28,36,-15,48,3,13,0,0,0,0,130,6.15,0
4,Jack Johnson,D,2010-2011,LAK,82,5,37,42,-21,44,3,28,0,1,0,0,153,3.27,0
5,Jack Johnson,D,2011-2012,LAK,61,8,16,24,-12,24,5,14,0,0,4,2,120,6.67,0
6,Jack Johnson,D,2011-2012,CBJ,21,4,10,14,5,15,0,3,0,0,1,0,56,7.14,0
7,Jack Johnson,D,2012-2013,CBJ,44,5,14,19,-5,12,3,8,0,0,1,0,96,5.21,0
8,Jack Johnson,D,2013-2014,CBJ,82,5,28,33,-7,48,4,18,0,0,0,0,147,3.4,0
9,Jack Johnson,D,2014-2015,CBJ,79,8,32,40,-13,44,3,21,0,0,1,1,141,5.67,0
10,Jack Johnson,D,2015-2016,CBJ,60,6,8,14,-16,25,3,6,0,0,2,0,86,6.98,0
11,Jack Johnson,D,2016-2017,CBJ,82,5,18,23,23,32,1,2,0,1,1,0,116,4.31,100
12,Jack Johnson,D,2017-2018,CBJ,77,3,8,11,-6,22,0,0,0,0,1,0,88,3.41,0
13,Jack Johnson,D,2018-2019,PIT,82,1,12,13,-4,41,1,2,0,2,0,0,86,1.16,0
14,Jack Johnson,D,2019-2020,PIT,67,3,8,11,-1,26,0,0,1,1,0,0,63,4.8,0
15,Jack Johnson,D,2020-2021,NYR,13,1,0,1,-5,8,0,0,0,0,0,0,13,7.7,0
16,Jack Johnson,D,2021-2022,COL,74,1,8,9,5,42,0,0,0,1,0,0,57,1.8,0
17,Jack Johnson,D,2022-2023,CHI,32,0,4,4,-19,12,0,0,0,1,0,0,41,0,0
