,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Patrick Kane,RW,2007-2008,CHI,82,21,51,72,-5,52,7,28,0,0,4,1,191,10.99,61.54
1,Patrick Kane,RW,2008-2009,CHI,80,25,45,70,-2,42,13,35,0,0,4,0,254,9.84,41.94
2,Patrick Kane,RW,2009-2010,CHI,82,30,58,88,16,20,9,29,0,1,6,0,261,11.49,40.91
3,Patrick Kane,RW,2010-2011,CHI,73,27,46,73,7,28,5,24,0,0,2,0,216,12.5,14.29
4,Patrick Kane,RW,2011-2012,CHI,82,23,43,66,7,40,4,12,0,0,5,0,253,9.09,42.18
5,Patrick Kane,RW,2012-2013,CHI,47,23,32,55,11,8,8,17,0,0,3,0,138,16.67,20
6,Patrick Kane,RW,2013-2014,CHI,69,29,40,69,7,22,10,25,0,0,6,0,227,12.78,50
7,Patrick Kane,RW,2014-2015,CHI,61,27,37,64,10,10,6,22,0,0,5,0,186,14.52,42.86
8,Patrick Kane,RW,2015-2016,CHI,82,46,60,106,17,30,17,37,0,0,9,1,287,16.03,21.57
9,Patrick Kane,RW,2016-2017,CHI,82,34,55,89,11,32,7,23,0,0,5,1,292,11.64,13.73
10,Patrick Kane,RW,2017-2018,CHI,82,27,49,76,-20,32,5,22,0,0,4,2,285,9.47,38.89
11,Patrick Kane,RW,2018-2019,CHI,81,44,66,110,2,22,9,30,0,0,7,3,341,12.9,20
12,Patrick Kane,RW,2019-2020,CHI,70,33,51,84,8,40,8,23,0,0,2,1,275,12,25
13,Patrick Kane,RW,2020-2021,CHI,56,15,51,66,-7,14,3,22,0,0,3,0,191,7.9,28.57
14,Patrick Kane,RW,2021-2022,CHI,78,26,66,92,-19,18,9,31,0,0,2,0,287,9.1,50
15,Patrick Kane,RW,2022-2023,CHI,32,5,20,25,-19,8,1,14,0,0,0,0,120,4.2,100
