,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tyler Johnson,C,2012-2013,TBL,14,3,3,6,3,4,0,0,0,0,0,0,11,27.27,59.5
1,Tyler Johnson,C,2013-2014,TBL,82,24,26,50,23,26,5,10,5,6,4,0,181,13.26,48.16
2,Tyler Johnson,C,2014-2015,TBL,77,29,43,72,33,24,8,17,0,0,6,2,203,14.29,48.69
3,Tyler Johnson,C,2015-2016,TBL,69,14,24,38,4,20,3,13,0,0,7,1,167,8.38,48.58
4,Tyler Johnson,C,2016-2017,TBL,66,19,26,45,-5,28,6,17,0,0,3,1,130,14.62,51.96
5,Tyler Johnson,C,2017-2018,TBL,81,21,29,50,3,24,4,13,2,2,3,0,186,11.29,50.07
6,Tyler Johnson,C,2018-2019,TBL,80,29,18,47,15,28,1,8,1,1,4,0,163,17.79,48.63
7,Tyler Johnson,C,2019-2020,TBL,65,14,17,31,9,16,1,7,0,0,2,1,113,12.4,49.01
8,Tyler Johnson,C,2020-2021,TBL,55,8,14,22,-1,16,2,3,0,0,1,0,77,10.4,54.84
9,Tyler Johnson,C,2021-2022,CHI,26,3,4,7,-8,12,0,2,0,0,0,0,30,10,60.78
10,Tyler Johnson,C,2022-2023,CHI,10,3,5,8,0,6,1,3,0,0,0,0,20,15,53.33
