,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Andrew Cogliano,C,2007-2008,EDM,82,18,27,45,1,20,1,7,2,3,5,3,98,18.37,39.48
1,Andrew Cogliano,C,2008-2009,EDM,82,18,20,38,-6,22,4,9,0,0,4,0,116,15.52,37.18
2,Andrew Cogliano,C,2009-2010,EDM,82,10,18,28,-5,31,1,3,0,0,1,0,139,7.19,43.01
3,Andrew Cogliano,C,2010-2011,EDM,82,11,24,35,-12,64,0,5,1,3,3,0,129,8.53,41.61
4,Andrew Cogliano,C,2011-2012,ANA,82,13,13,26,-4,15,2,3,0,0,2,0,115,11.3,41.97
5,Andrew Cogliano,C,2012-2013,ANA,48,13,10,23,14,6,0,0,2,2,1,0,79,16.46,34.78
6,Andrew Cogliano,C,2013-2014,ANA,82,21,21,42,13,28,0,0,3,5,5,0,157,13.38,40.74
7,Andrew Cogliano,C,2014-2015,ANA,82,15,14,29,5,14,0,0,3,3,2,0,134,11.19,32.65
8,Andrew Cogliano,C,2015-2016,ANA,82,9,23,32,2,28,0,0,2,3,3,0,131,6.87,35.29
9,Andrew Cogliano,C,2016-2017,ANA,82,16,19,35,11,26,0,0,3,4,2,0,178,8.99,44.44
10,Andrew Cogliano,C,2017-2018,ANA,80,12,23,35,18,41,0,0,3,4,1,0,175,6.86,49.3
11,Andrew Cogliano,C,2018-2019,ANA,46,3,8,11,2,14,1,1,0,0,1,0,64,4.69,35
12,Andrew Cogliano,C,2018-2019,DAL,32,3,3,6,-1,8,0,0,0,0,0,0,42,7.14,44.44
13,Andrew Cogliano,C,2019-2020,DAL,68,3,11,14,2,30,0,0,0,0,0,0,68,4.4,45.95
14,Andrew Cogliano,C,2020-2021,DAL,54,5,6,11,-8,24,0,0,1,1,0,0,88,5.7,26.67
15,Andrew Cogliano,C,2021-2022,SJS,56,4,11,15,-16,12,0,0,1,2,0,0,58,6.9,40
16,Andrew Cogliano,C,2021-2022,COL,18,0,1,1,-2,8,0,0,0,0,0,0,17,0,0
17,Andrew Cogliano,C,2022-2023,COL,30,4,3,7,6,6,0,0,0,1,0,0,43,9.3,44
