,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brad Hunt,D,2013-2014,EDM,3,0,0,0,-3,0,0,0,0,0,0,0,1,0,0
1,Brad Hunt,D,2014-2015,EDM,11,1,2,3,-6,0,1,1,0,0,0,0,20,5,0
2,Brad Hunt,D,2015-2016,EDM,7,0,0,0,-1,2,0,0,0,0,0,0,12,0,0
3,Brad Hunt,D,2016-2017,STL,9,1,4,5,-2,2,1,2,0,0,0,0,12,8.33,0
4,Brad Hunt,D,2016-2017,NSH,3,0,1,1,1,0,0,0,0,0,0,0,2,0,0
5,Brad Hunt,D,2017-2018,VGK,45,3,15,18,-5,6,2,12,0,0,0,0,80,3.75,0
6,Brad Hunt,D,2018-2019,VGK,13,2,5,7,3,2,1,4,0,0,1,0,28,7.14,0
7,Brad Hunt,D,2018-2019,MIN,29,3,2,5,-5,6,3,4,0,0,0,0,47,6.38,0
8,Brad Hunt,D,2019-2020,MIN,59,8,11,19,-7,6,3,10,0,0,0,0,106,7.5,0
9,Brad Hunt,D,2020-2021,MIN,12,1,0,1,-8,4,0,0,0,0,1,0,14,7.1,0
10,Brad Hunt,D,2021-2022,VAN,50,3,14,17,-3,12,0,2,0,0,0,0,67,4.5,0
11,Brad Hunt,D,2022-2023,COL,8,0,1,1,1,0,0,0,0,0,0,0,10,0,0
