,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Darren Helm,C,2007-2008,DET,7,0,0,0,-2,2,0,0,0,0,0,0,7,0,21.74
1,Darren Helm,C,2008-2009,DET,16,0,1,1,-7,4,0,0,0,0,0,0,29,0,56.06
2,Darren Helm,C,2009-2010,DET,75,11,13,24,-2,18,0,0,3,3,3,0,165,6.67,51.09
3,Darren Helm,C,2010-2011,DET,82,12,20,32,9,16,0,0,2,3,2,1,177,6.78,52.56
4,Darren Helm,C,2011-2012,DET,68,9,17,26,5,12,0,0,0,0,2,0,124,7.26,51.87
5,Darren Helm,C,2012-2013,DET,1,0,0,0,0,2,0,0,0,0,0,0,1,0,42.86
6,Darren Helm,C,2013-2014,DET,42,12,8,20,2,14,1,1,2,2,3,0,83,14.46,49.09
7,Darren Helm,C,2014-2015,DET,75,15,18,33,7,12,3,7,2,2,1,0,160,9.38,52.97
8,Darren Helm,C,2015-2016,DET,77,13,13,26,-2,32,0,0,0,0,3,1,165,7.88,50.65
9,Darren Helm,C,2016-2017,DET,50,8,9,17,-6,20,2,4,0,1,1,0,98,8.16,51.43
10,Darren Helm,C,2017-2018,DET,75,13,18,31,3,39,0,0,2,4,0,0,141,9.22,44.12
11,Darren Helm,C,2018-2019,DET,61,7,10,17,-11,20,0,0,1,4,0,0,107,6.54,44.44
12,Darren Helm,C,2019-2020,DET,68,9,7,16,-6,37,0,0,1,2,0,0,102,8.8,53.57
13,Darren Helm,C,2020-2021,DET,47,3,5,8,-3,10,0,0,0,0,0,0,83,3.6,66.67
14,Darren Helm,C,2021-2022,COL,68,7,8,15,-5,14,0,0,1,2,1,0,93,7.5,44.21
