,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Erik Johnson,D,2007-2008,STL,69,5,28,33,-9,28,4,18,0,0,3,0,105,4.76,0
1,Erik Johnson,D,2009-2010,STL,79,10,29,39,1,79,6,15,0,0,2,2,186,5.38,0
2,Erik Johnson,D,2010-2011,STL,55,5,14,19,-8,37,1,5,1,1,2,1,108,4.63,0
3,Erik Johnson,D,2010-2011,COL,22,3,7,10,-5,19,2,5,0,1,0,0,53,5.66,0
4,Erik Johnson,D,2011-2012,COL,73,4,22,26,-7,26,1,12,0,0,1,0,155,2.58,0
5,Erik Johnson,D,2012-2013,COL,31,0,4,4,-3,18,0,0,0,0,0,0,64,0,0
6,Erik Johnson,D,2013-2014,COL,80,9,30,39,5,61,2,14,0,0,2,0,157,5.73,0
7,Erik Johnson,D,2014-2015,COL,47,12,11,23,2,33,3,6,0,1,2,0,115,10.43,0
8,Erik Johnson,D,2015-2016,COL,73,11,16,27,-19,50,3,6,2,3,0,0,175,6.29,0
9,Erik Johnson,D,2016-2017,COL,46,2,15,17,-6,9,0,6,0,0,1,1,96,2.08,0
10,Erik Johnson,D,2017-2018,COL,62,9,16,25,3,58,0,3,0,1,3,1,168,5.36,0
11,Erik Johnson,D,2018-2019,COL,80,7,18,25,8,38,0,0,0,0,1,1,144,4.86,0
12,Erik Johnson,D,2019-2020,COL,59,3,13,16,9,20,0,0,0,0,1,0,99,3,0
13,Erik Johnson,D,2020-2021,COL,4,0,1,1,2,2,0,0,0,0,0,0,5,0,0
14,Erik Johnson,D,2021-2022,COL,77,8,17,25,22,24,0,1,1,2,1,0,139,5.8,0
15,Erik Johnson,D,2022-2023,COL,32,0,6,6,10,6,0,0,0,1,0,0,49,0,0
