,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Josh Manson,D,2014-2015,ANA,28,0,3,3,1,31,0,0,0,0,0,0,26,0,0
1,Josh Manson,D,2015-2016,ANA,71,5,10,15,11,74,0,0,0,0,1,0,88,5.68,0
2,Josh Manson,D,2016-2017,ANA,82,5,12,17,14,82,0,0,1,2,1,0,88,5.68,0
3,Josh Manson,D,2017-2018,ANA,80,7,30,37,34,62,0,0,0,1,2,0,117,5.98,0
4,Josh Manson,D,2018-2019,ANA,74,3,13,16,-8,62,0,0,0,1,0,0,96,3.13,0
5,Josh Manson,D,2019-2020,ANA,50,1,8,9,-10,37,0,0,0,1,0,0,64,1.6,0
6,Josh Manson,D,2020-2021,ANA,23,1,6,7,-3,30,0,0,0,0,1,1,19,5.3,0
7,Josh Manson,D,2021-2022,ANA,45,4,5,9,0,53,0,0,0,0,0,0,61,6.6,0
8,Josh Manson,D,2021-2022,COL,22,2,5,7,-11,12,0,0,0,0,0,0,31,6.5,0
9,Josh Manson,D,2022-2023,COL,21,2,4,6,2,40,0,0,0,0,2,0,30,6.7,0
