,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nathan MacKinnon,C,2013-2014,COL,82,24,39,63,20,26,8,17,0,0,5,0,241,9.96,42.92
1,Nathan MacKinnon,C,2014-2015,COL,64,14,24,38,-7,34,3,7,0,0,2,0,192,7.29,46.96
2,Nathan MacKinnon,C,2015-2016,COL,72,21,31,52,-4,20,7,16,0,1,6,0,245,8.57,48.42
3,Nathan MacKinnon,C,2016-2017,COL,82,16,37,53,-14,16,2,14,2,2,4,2,251,6.37,50.56
4,Nathan MacKinnon,C,2017-2018,COL,74,39,58,97,11,55,12,32,0,1,12,3,284,13.73,41.92
5,Nathan MacKinnon,C,2018-2019,COL,82,41,58,99,20,34,12,37,0,0,6,1,365,11.23,43.7
6,Nathan MacKinnon,C,2019-2020,COL,69,35,58,93,13,12,12,31,0,0,4,2,318,11,43.1
7,Nathan MacKinnon,C,2020-2021,COL,48,20,45,65,22,37,8,25,0,0,2,0,206,9.7,48.48
8,Nathan MacKinnon,C,2021-2022,COL,65,32,56,88,22,42,7,27,0,0,5,1,299,10.7,45.38
9,Nathan MacKinnon,C,2022-2023,COL,23,8,26,34,7,20,4,14,0,0,0,0,120,6.7,46.78
