,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jamie Benn,LW,2009-2010,DAL,82,22,19,41,-1,45,2,7,0,0,3,0,182,12.09,46.19
1,Jamie Benn,LW,2010-2011,DAL,69,22,34,56,-5,52,6,11,4,6,3,0,177,12.43,43.08
2,Jamie Benn,LW,2011-2012,DAL,71,26,37,63,15,55,2,10,1,1,7,0,203,12.81,46.21
3,Jamie Benn,LW,2012-2013,DAL,41,12,21,33,-12,40,3,10,0,0,3,0,110,10.91,46.12
4,Jamie Benn,LW,2013-2014,DAL,81,34,45,79,21,64,5,19,1,3,3,1,279,12.19,52.83
5,Jamie Benn,LW,2014-2015,DAL,82,35,52,87,1,64,10,23,2,5,6,0,253,13.83,51.74
6,Jamie Benn,LW,2015-2016,DAL,82,41,48,89,7,64,17,30,2,5,5,1,247,16.6,47.28
7,Jamie Benn,LW,2016-2017,DAL,77,26,43,69,-9,66,12,26,1,1,4,2,201,12.94,51.46
8,Jamie Benn,LW,2017-2018,DAL,82,36,43,79,20,54,9,22,1,2,7,1,241,14.94,52.48
9,Jamie Benn,LW,2018-2019,DAL,78,27,26,53,14,56,8,11,0,0,2,0,189,14.29,49.04
10,Jamie Benn,LW,2019-2020,DAL,69,19,20,39,-4,53,8,14,0,0,4,2,163,11.7,55.84
11,Jamie Benn,LW,2020-2021,DAL,52,11,24,35,13,33,3,9,0,0,2,2,124,8.9,56.07
12,Jamie Benn,LW,2021-2022,DAL,82,18,28,46,-13,88,3,11,1,1,2,2,182,9.9,55.22
13,Jamie Benn,LW,2022-2023,DAL,35,13,19,32,9,16,7,15,0,0,1,0,78,16.7,61.32
