,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Luke Glendening,C,2013-2014,DET,56,1,6,7,-8,22,0,0,0,0,0,0,54,1.85,48.53
1,Luke Glendening,C,2014-2015,DET,82,12,6,18,5,34,1,1,0,0,2,0,104,11.54,51.87
2,Luke Glendening,C,2015-2016,DET,81,8,13,21,4,46,0,0,0,0,3,0,88,9.09,54.58
3,Luke Glendening,C,2016-2017,DET,74,3,11,14,-10,26,0,1,0,0,0,0,76,3.95,54.05
4,Luke Glendening,C,2017-2018,DET,69,11,8,19,-14,17,1,1,2,3,2,0,88,12.5,58.03
5,Luke Glendening,C,2018-2019,DET,78,10,13,23,2,15,0,0,1,3,1,0,102,9.8,55.67
6,Luke Glendening,C,2019-2020,DET,60,6,3,9,-29,14,0,0,1,1,1,0,76,7.9,56.14
7,Luke Glendening,C,2020-2021,DET,54,6,9,15,3,20,0,0,0,0,1,0,67,9,60.88
8,Luke Glendening,C,2021-2022,DAL,82,9,7,16,-17,15,0,0,0,2,1,0,116,7.8,58.7
9,Luke Glendening,C,2022-2023,DAL,35,2,2,4,-5,37,0,0,1,1,0,0,31,6.5,60.87
