,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Suter,D,2005-2006,NSH,71,1,15,16,7,66,0,2,0,0,0,0,84,1.19,0
1,Ryan Suter,D,2006-2007,NSH,82,8,16,24,10,54,1,9,0,2,0,0,87,9.2,0
2,Ryan Suter,D,2007-2008,NSH,76,7,24,31,3,71,1,11,0,0,1,0,138,5.07,0
3,Ryan Suter,D,2008-2009,NSH,82,7,38,45,-16,73,3,18,0,0,3,1,143,4.9,0
4,Ryan Suter,D,2009-2010,NSH,82,4,33,37,4,48,2,17,0,0,1,1,125,3.2,0
5,Ryan Suter,D,2010-2011,NSH,70,4,35,39,20,54,1,17,0,1,1,0,115,3.48,0
6,Ryan Suter,D,2011-2012,NSH,79,7,39,46,15,30,3,25,1,2,1,0,134,5.22,0
7,Ryan Suter,D,2012-2013,MIN,48,4,28,32,2,24,3,15,0,0,1,0,91,4.4,0
8,Ryan Suter,D,2013-2014,MIN,82,8,35,43,15,34,3,17,0,1,0,0,150,5.33,100
9,Ryan Suter,D,2014-2015,MIN,77,2,36,38,7,48,1,11,0,1,1,0,150,1.33,0
10,Ryan Suter,D,2015-2016,MIN,82,8,43,51,10,30,3,21,1,2,2,0,188,4.26,0
11,Ryan Suter,D,2016-2017,MIN,82,9,31,40,34,36,4,12,1,2,1,0,164,5.49,0
12,Ryan Suter,D,2017-2018,MIN,78,6,45,51,-1,34,1,23,0,1,2,0,149,4.03,0
13,Ryan Suter,D,2018-2019,MIN,82,7,40,47,-8,41,3,15,1,2,2,0,136,5.15,100
14,Ryan Suter,D,2019-2020,MIN,69,8,40,48,-6,12,2,18,0,0,2,0,111,7.2,0
15,Ryan Suter,D,2020-2021,MIN,56,3,16,19,9,12,1,6,0,0,0,0,86,3.5,0
16,Ryan Suter,D,2021-2022,DAL,82,7,25,32,1,40,4,13,0,0,0,0,118,5.9,0
17,Ryan Suter,D,2022-2023,DAL,35,0,8,8,-7,18,0,2,0,0,0,0,44,0,0
