,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tyler Seguin,C,2010-2011,BOS,74,11,11,22,-4,18,1,3,0,0,0,0,131,8.4,49.5
1,Tyler Seguin,C,2011-2012,BOS,81,29,38,67,34,30,5,15,0,0,7,0,242,11.98,43.4
2,Tyler Seguin,C,2012-2013,BOS,48,16,16,32,23,16,4,6,0,0,2,0,161,9.94,48.89
3,Tyler Seguin,C,2013-2014,DAL,80,37,47,84,16,18,11,25,0,0,8,0,294,12.59,41.51
4,Tyler Seguin,C,2014-2015,DAL,71,37,40,77,-1,22,13,29,0,0,5,0,280,13.21,53.82
5,Tyler Seguin,C,2015-2016,DAL,72,33,40,73,2,16,7,24,0,0,6,1,278,11.87,55.56
6,Tyler Seguin,C,2016-2017,DAL,82,26,46,72,-15,22,11,29,0,0,4,1,301,8.64,51.02
7,Tyler Seguin,C,2017-2018,DAL,82,40,38,78,12,43,14,25,1,2,6,1,335,11.94,54.86
8,Tyler Seguin,C,2018-2019,DAL,82,33,47,80,17,18,9,27,0,0,8,2,334,9.88,53.86
9,Tyler Seguin,C,2019-2020,DAL,69,17,33,50,-2,22,3,15,0,0,6,3,245,6.9,58.16
10,Tyler Seguin,C,2020-2021,DAL,3,2,0,2,0,0,0,0,0,0,0,0,8,25,54.29
11,Tyler Seguin,C,2021-2022,DAL,81,24,25,49,-21,30,3,13,0,0,2,1,218,11,56.04
12,Tyler Seguin,C,2022-2023,DAL,35,7,17,24,4,14,2,4,0,0,2,1,76,9.2,55.85
