,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Andrew Copp,C,2014-2015,WPG,1,0,1,1,2,0,0,0,0,0,0,0,4,0,66.67
1,Andrew Copp,C,2015-2016,WPG,77,7,6,13,8,6,0,0,0,0,0,0,54,12.96,46.09
2,Andrew Copp,C,2016-2017,WPG,64,9,8,17,8,18,0,0,1,1,1,0,77,11.69,49.48
3,Andrew Copp,C,2017-2018,WPG,82,9,19,28,17,14,0,0,2,3,0,0,96,9.38,51.84
4,Andrew Copp,C,2018-2019,WPG,69,11,14,25,20,6,0,0,1,1,2,0,82,13.41,55.31
5,Andrew Copp,C,2019-2020,WPG,63,10,16,26,-3,10,1,1,0,3,5,0,121,8.3,52.99
6,Andrew Copp,C,2020-2021,WPG,55,15,24,39,2,20,6,12,0,1,1,0,115,13,53.02
7,Andrew Copp,C,2021-2022,WPG,56,13,22,35,2,8,3,9,1,2,3,0,151,8.6,53.98
8,Andrew Copp,C,2021-2022,NYR,16,8,10,18,13,8,0,1,1,1,2,1,32,25,49.62
9,Andrew Copp,C,2022-2023,DET,32,3,15,18,-5,8,1,2,0,0,1,0,43,7,47.26
