,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ben Chiarot,D,2013-2014,WPG,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0
1,Ben Chiarot,D,2014-2015,WPG,40,2,6,8,5,22,0,0,0,0,0,0,37,5.41,0
2,Ben Chiarot,D,2015-2016,WPG,70,1,9,10,-9,43,0,0,0,0,0,0,74,1.35,0
3,Ben Chiarot,D,2016-2017,WPG,59,2,10,12,2,33,0,0,0,0,0,0,49,4.08,0
4,Ben Chiarot,D,2017-2018,WPG,57,2,12,14,15,32,0,0,0,0,0,0,57,3.51,0
5,Ben Chiarot,D,2018-2019,WPG,78,5,15,20,6,62,0,0,0,1,1,0,111,4.5,0
6,Ben Chiarot,D,2019-2020,MTL,69,9,12,21,5,61,0,0,0,0,3,2,130,6.9,0
7,Ben Chiarot,D,2020-2021,MTL,41,1,6,7,-16,50,1,1,0,0,0,0,81,1.2,0
8,Ben Chiarot,D,2021-2022,MTL,54,7,11,18,-18,42,1,2,0,1,1,1,96,7.3,0
9,Ben Chiarot,D,2021-2022,FLA,20,2,6,8,4,6,1,1,0,0,0,0,47,4.3,0
10,Ben Chiarot,D,2022-2023,DET,32,2,6,8,-13,29,0,0,0,0,0,0,48,4.2,0
