,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,David Perron,LW,2007-2008,STL,62,13,14,27,16,38,3,5,0,0,1,0,68,19.12,35.71
1,David Perron,LW,2008-2009,STL,81,15,35,50,13,50,4,15,0,0,3,0,161,9.32,16.67
2,David Perron,LW,2009-2010,STL,82,20,27,47,-10,60,5,13,1,2,2,0,166,12.05,38.1
3,David Perron,LW,2010-2011,STL,10,5,2,7,7,12,0,0,0,1,0,0,29,17.24,0
4,David Perron,LW,2011-2012,STL,57,21,21,42,19,28,5,10,1,2,4,0,114,18.42,20
5,David Perron,LW,2012-2013,STL,48,10,15,25,0,44,2,6,0,0,2,0,84,11.9,36.36
6,David Perron,LW,2013-2014,EDM,78,28,29,57,-16,90,8,13,1,1,2,0,220,12.73,33.33
7,David Perron,LW,2014-2015,EDM,38,5,14,19,-17,20,0,4,0,0,1,0,74,6.76,33.33
8,David Perron,LW,2014-2015,PIT,43,12,10,22,-8,42,3,5,0,0,1,0,122,9.84,0
9,David Perron,LW,2015-2016,PIT,43,4,12,16,-13,28,1,5,0,0,0,0,96,4.17,20
10,David Perron,LW,2015-2016,ANA,28,8,12,20,12,34,3,7,0,0,1,0,51,15.69,20
11,David Perron,LW,2016-2017,STL,82,18,28,46,-2,54,3,13,1,1,3,1,151,11.92,48.48
12,David Perron,LW,2017-2018,VGK,70,16,50,66,1,50,1,18,0,0,4,3,125,12.8,40.34
13,David Perron,LW,2018-2019,STL,57,23,23,46,3,46,7,14,0,0,1,0,112,20.54,45.45
14,David Perron,LW,2019-2020,STL,71,25,35,60,2,52,9,27,0,0,9,4,166,15.1,37.5
15,David Perron,LW,2020-2021,STL,56,19,39,58,6,22,6,21,0,0,2,1,151,12.6,0
16,David Perron,LW,2021-2022,STL,67,27,30,57,8,48,11,26,0,0,2,0,177,15.3,25
17,David Perron,LW,2022-2023,DET,32,11,15,26,2,14,2,9,0,0,2,0,87,12.6,0
