,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Olli Maatta,D,2013-2014,PIT,78,9,20,29,8,14,3,6,1,1,1,0,119,7.56,0
1,Olli Maatta,D,2014-2015,PIT,20,1,8,9,1,10,0,2,0,0,0,0,27,3.7,0
2,Olli Maatta,D,2015-2016,PIT,67,6,13,19,27,22,0,1,0,1,2,0,95,6.32,0
3,Olli Maatta,D,2016-2017,PIT,55,1,6,7,17,12,0,0,0,0,0,0,66,1.52,0
4,Olli Maatta,D,2017-2018,PIT,82,7,22,29,-1,28,0,8,0,0,3,0,164,4.27,0
5,Olli Maatta,D,2018-2019,PIT,60,1,13,14,9,12,1,4,0,0,1,0,74,1.35,0
6,Olli Maatta,D,2019-2020,CHI,65,4,13,17,0,20,0,0,0,2,0,0,80,5,0
7,Olli Maatta,D,2020-2021,LAK,41,0,4,4,-8,6,0,0,0,0,0,0,43,0,0
8,Olli Maatta,D,2021-2022,LAK,66,1,7,8,17,10,0,0,0,0,0,0,61,1.6,0
9,Olli Maatta,D,2022-2023,DET,28,3,9,12,7,6,0,0,0,0,0,0,21,14.3,0
