,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brett Kulak,D,2014-2015,CGY,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,Brett Kulak,D,2015-2016,CGY,8,0,0,0,-2,0,0,0,0,0,0,0,9,0,0
2,Brett Kulak,D,2016-2017,CGY,21,0,3,3,-3,12,0,0,0,0,0,0,19,0,0
3,Brett Kulak,D,2017-2018,CGY,71,2,6,8,-3,27,0,0,0,0,0,0,73,2.74,0
4,Brett Kulak,D,2018-2019,MTL,57,6,11,17,12,31,0,0,1,1,3,0,102,5.88,0
5,Brett Kulak,D,2019-2020,MTL,56,0,7,7,-1,12,0,0,0,0,0,0,101,0,0
6,Brett Kulak,D,2020-2021,MTL,46,2,6,8,3,20,0,0,0,0,0,0,57,3.5,0
7,Brett Kulak,D,2021-2022,MTL,56,3,10,13,-10,33,0,0,0,1,0,0,63,4.8,0
8,Brett Kulak,D,2021-2022,EDM,18,2,6,8,6,12,0,0,0,0,0,0,29,6.9,0
9,Brett Kulak,D,2022-2023,EDM,35,2,6,8,1,16,0,0,0,0,0,0,42,4.8,0
