,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Aleksander Barkov,C,2013-2014,FLA,54,8,16,24,-3,10,3,6,0,0,1,0,87,9.2,48.84
1,Aleksander Barkov,C,2014-2015,FLA,71,16,20,36,-4,16,3,7,0,0,3,0,123,13.01,46.11
2,Aleksander Barkov,C,2015-2016,FLA,66,28,31,59,18,8,9,16,1,2,8,0,171,16.37,49.22
3,Aleksander Barkov,C,2016-2017,FLA,61,21,31,52,13,10,3,14,0,0,5,2,142,14.79,46.53
4,Aleksander Barkov,C,2017-2018,FLA,79,27,51,78,9,14,5,17,5,5,3,0,256,10.55,53.51
5,Aleksander Barkov,C,2018-2019,FLA,82,35,61,96,-3,8,13,31,0,1,5,2,206,16.99,53.69
6,Aleksander Barkov,C,2019-2020,FLA,66,20,42,62,2,18,7,20,0,1,2,0,172,11.6,54.28
7,Aleksander Barkov,C,2020-2021,FLA,50,26,32,58,12,14,7,19,1,1,6,2,176,14.8,54.87
8,Aleksander Barkov,C,2021-2022,FLA,67,39,49,88,36,18,12,26,4,5,5,2,214,18.2,56.95
9,Aleksander Barkov,C,2022-2023,FLA,25,6,16,22,5,0,4,10,0,0,1,0,82,7.3,56.51
