,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Eric Staal,C,2003-2004,CAR,81,11,20,31,-6,40,2,7,1,1,3,1,164,6.71,43.05
1,Eric Staal,C,2005-2006,CAR,82,45,55,100,-8,81,19,40,4,4,4,0,279,16.13,42.55
2,Eric Staal,C,2006-2007,CAR,82,30,40,70,-6,68,12,26,1,1,1,0,288,10.42,45.15
3,Eric Staal,C,2007-2008,CAR,82,38,44,82,-2,50,14,35,0,0,7,0,310,12.26,44.91
4,Eric Staal,C,2008-2009,CAR,82,40,35,75,15,50,14,24,1,2,8,1,372,10.75,45.27
5,Eric Staal,C,2009-2010,CAR,70,29,41,70,4,68,13,23,0,0,5,0,277,10.47,41.82
6,Eric Staal,C,2010-2011,CAR,81,33,43,76,-10,72,12,29,3,3,8,0,296,11.15,47.97
7,Eric Staal,C,2011-2012,CAR,82,24,46,70,-20,48,7,23,3,5,3,1,262,9.16,52.47
8,Eric Staal,C,2012-2013,CAR,48,18,35,53,5,54,3,9,1,1,4,0,152,11.84,51.97
9,Eric Staal,C,2013-2014,CAR,79,21,40,61,-13,74,1,12,2,4,0,0,230,9.13,52.73
10,Eric Staal,C,2014-2015,CAR,77,23,31,54,-13,41,7,17,0,0,4,0,244,9.43,51.27
11,Eric Staal,C,2015-2016,CAR,63,10,23,33,-3,32,1,7,0,0,0,0,159,6.29,53.74
12,Eric Staal,C,2015-2016,NYR,20,3,3,6,1,2,0,0,0,0,0,0,40,7.5,51.04
13,Eric Staal,C,2016-2017,MIN,82,28,37,65,17,34,4,16,1,2,8,0,211,13.27,49.15
14,Eric Staal,C,2017-2018,MIN,82,42,34,76,8,42,11,17,2,3,4,0,241,17.43,51.21
15,Eric Staal,C,2018-2019,MIN,81,22,30,52,-7,34,7,15,0,1,6,0,215,10.23,51.07
16,Eric Staal,C,2019-2020,MIN,66,19,28,47,-9,28,5,14,0,0,5,1,113,16.8,49.55
17,Eric Staal,C,2020-2021,BUF,32,3,7,10,-20,8,1,3,0,0,0,0,59,5.1,48.01
18,Eric Staal,C,2020-2021,MTL,21,2,1,3,-10,2,0,0,0,0,1,1,23,8.7,50.77
19,Eric Staal,C,2022-2023,FLA,28,3,5,8,-10,10,0,0,0,0,0,0,49,6.1,46.3
