,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Patric Hornqvist,RW,2008-2009,NSH,28,2,5,7,-3,16,0,1,0,0,0,0,54,3.7,20
1,Patric Hornqvist,RW,2009-2010,NSH,80,30,21,51,18,40,10,12,0,0,8,0,275,10.91,27.78
2,Patric Hornqvist,RW,2010-2011,NSH,79,21,27,48,11,47,6,14,0,0,5,0,265,7.92,48.89
3,Patric Hornqvist,RW,2011-2012,NSH,76,27,16,43,9,28,8,10,0,0,3,0,230,11.74,66.67
4,Patric Hornqvist,RW,2012-2013,NSH,24,4,10,14,-1,14,4,7,0,0,1,0,87,4.6,50
5,Patric Hornqvist,RW,2013-2014,NSH,76,22,31,53,1,28,7,17,0,0,6,0,248,8.87,0
6,Patric Hornqvist,RW,2014-2015,PIT,64,25,26,51,12,38,6,15,0,0,4,1,220,11.36,28.57
7,Patric Hornqvist,RW,2015-2016,PIT,82,22,29,51,15,36,9,15,0,0,3,0,257,8.56,62.5
8,Patric Hornqvist,RW,2016-2017,PIT,70,21,23,44,16,28,10,17,0,0,6,0,223,9.42,27.27
9,Patric Hornqvist,RW,2017-2018,PIT,70,29,20,49,2,58,15,22,0,0,1,0,247,11.74,48.48
10,Patric Hornqvist,RW,2018-2019,PIT,69,18,19,37,-3,26,6,12,0,0,2,0,197,9.14,50
11,Patric Hornqvist,RW,2019-2020,PIT,52,17,15,32,9,36,3,7,0,0,2,0,168,10.1,33.33
12,Patric Hornqvist,RW,2020-2021,FLA,44,14,18,32,-3,39,8,12,0,0,2,0,145,9.7,14.29
13,Patric Hornqvist,RW,2021-2022,FLA,65,11,17,28,-5,19,3,7,0,0,0,0,165,6.7,38.1
14,Patric Hornqvist,RW,2022-2023,FLA,22,1,2,3,-4,13,0,1,0,0,1,0,40,2.5,16.67
