,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Zac Dalpe,C,2010-2011,CAR,15,3,1,4,0,0,0,0,0,0,1,0,16,18.75,26.92
1,Zac Dalpe,C,2011-2012,CAR,16,1,2,3,-3,4,0,0,0,0,0,0,20,5,45.45
2,Zac Dalpe,C,2012-2013,CAR,10,1,2,3,-7,0,0,0,0,0,0,0,18,5.56,33.33
3,Zac Dalpe,C,2013-2014,VAN,55,4,3,7,-7,6,1,1,0,0,0,0,52,7.69,45.89
4,Zac Dalpe,C,2014-2015,BUF,21,1,2,3,-11,4,0,0,0,0,0,0,29,3.45,60.61
5,Zac Dalpe,C,2015-2016,MIN,2,1,0,1,0,0,0,0,0,0,0,0,3,33.33,64.71
6,Zac Dalpe,C,2016-2017,MIN,9,1,2,3,0,9,0,0,0,0,0,0,8,12.5,45.76
7,Zac Dalpe,C,2017-2018,CBJ,12,0,0,0,-3,13,0,0,0,0,0,0,18,0,29.17
8,Zac Dalpe,C,2018-2019,CBJ,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
9,Zac Dalpe,C,2020-2021,CBJ,12,2,1,3,-2,0,0,0,0,0,0,0,22,9.1,45
10,Zac Dalpe,C,2021-2022,FLA,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,25
11,Zac Dalpe,C,2022-2023,FLA,10,2,2,4,-3,2,0,0,0,0,0,0,13,15.4,55.26
