,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Anze Kopitar,C,2006-2007,LAK,72,20,41,61,-12,24,7,29,2,2,1,0,193,10.36,46.1
1,Anze Kopitar,C,2007-2008,LAK,82,32,45,77,-15,22,12,34,2,4,3,1,201,15.92,49.22
2,Anze Kopitar,C,2008-2009,LAK,82,27,39,66,-17,32,7,23,1,1,3,0,234,11.54,49.52
3,Anze Kopitar,C,2009-2010,LAK,82,34,47,81,6,16,14,38,1,1,2,0,259,13.13,49.71
4,Anze Kopitar,C,2010-2011,LAK,75,25,48,73,25,20,6,18,1,1,6,1,233,10.73,49.91
5,Anze Kopitar,C,2011-2012,LAK,82,25,51,76,12,20,8,26,2,4,2,0,230,10.87,53.81
6,Anze Kopitar,C,2012-2013,LAK,47,10,32,42,14,16,0,16,0,0,1,0,98,10.2,53.27
7,Anze Kopitar,C,2013-2014,LAK,82,29,41,70,34,24,10,23,0,0,9,2,200,14.5,53.27
8,Anze Kopitar,C,2014-2015,LAK,79,16,48,64,-2,10,6,24,0,0,4,0,134,11.94,52.59
9,Anze Kopitar,C,2015-2016,LAK,81,25,49,74,34,16,5,18,1,3,8,4,177,14.12,53.49
10,Anze Kopitar,C,2016-2017,LAK,76,12,40,52,-10,28,5,19,0,1,0,0,150,8,52.69
11,Anze Kopitar,C,2017-2018,LAK,82,35,57,92,21,20,7,27,0,2,6,0,200,17.5,54.13
12,Anze Kopitar,C,2018-2019,LAK,81,22,38,60,-20,30,1,19,2,2,3,0,156,14.1,55.09
13,Anze Kopitar,C,2019-2020,LAK,70,21,41,62,6,16,7,21,1,1,5,1,135,15.6,55.15
14,Anze Kopitar,C,2020-2021,LAK,56,13,37,50,-7,10,3,23,0,0,4,0,118,11,57.28
15,Anze Kopitar,C,2021-2022,LAK,81,19,48,67,-6,14,6,22,0,1,4,0,210,9,56.86
16,Anze Kopitar,C,2022-2023,LAK,37,10,19,29,4,4,1,7,0,0,1,0,75,13.3,57.76
