,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Kevin Fiala,LW,2014-2015,NSH,1,0,0,0,-1,0,0,0,0,0,0,0,3,0,0
1,Kevin Fiala,LW,2015-2016,NSH,5,1,0,1,0,0,0,0,0,0,0,0,11,9.09,0
2,Kevin Fiala,LW,2016-2017,NSH,54,11,5,16,1,18,0,0,0,0,1,0,114,9.65,0
3,Kevin Fiala,LW,2017-2018,NSH,80,23,25,48,20,26,4,13,0,0,4,0,187,12.3,0
4,Kevin Fiala,LW,2018-2019,NSH,64,10,22,32,-11,26,1,7,0,0,1,0,131,7.63,60
5,Kevin Fiala,LW,2018-2019,MIN,19,3,4,7,-12,10,1,4,0,0,1,0,43,6.98,0
6,Kevin Fiala,LW,2019-2020,MIN,64,23,31,54,-1,42,9,18,0,0,4,1,175,13.1,22.22
7,Kevin Fiala,LW,2020-2021,MIN,50,20,20,40,-2,43,6,14,0,0,5,1,162,12.3,33.33
8,Kevin Fiala,LW,2021-2022,MIN,82,33,52,85,23,52,5,17,1,1,7,1,262,12.6,26.67
9,Kevin Fiala,LW,2022-2023,LAK,37,10,25,35,2,26,3,10,0,0,1,1,108,9.3,58.33
