,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Alex Goligoski,D,2007-2008,PIT,3,0,2,2,2,2,0,0,0,0,0,0,2,0,0
1,Alex Goligoski,D,2008-2009,PIT,45,6,14,20,5,16,4,8,0,0,0,0,61,9.84,0
2,Alex Goligoski,D,2009-2010,PIT,69,8,29,37,7,22,2,17,0,0,0,0,98,8.16,0
3,Alex Goligoski,D,2010-2011,PIT,60,9,22,31,20,28,4,17,0,0,4,1,101,8.91,0
4,Alex Goligoski,D,2010-2011,DAL,23,5,10,15,0,12,3,7,0,0,0,0,61,8.2,0
5,Alex Goligoski,D,2011-2012,DAL,71,9,21,30,0,16,2,9,0,1,1,0,140,6.43,0
6,Alex Goligoski,D,2012-2013,DAL,47,3,24,27,4,18,0,11,0,1,0,0,80,3.75,0
7,Alex Goligoski,D,2013-2014,DAL,81,6,36,42,9,28,3,15,0,0,0,0,141,4.26,0
8,Alex Goligoski,D,2014-2015,DAL,81,4,32,36,0,24,0,8,0,2,0,0,122,3.28,0
9,Alex Goligoski,D,2015-2016,DAL,82,5,32,37,21,34,1,5,0,1,1,0,127,3.94,0
10,Alex Goligoski,D,2016-2017,ARI,82,6,30,36,-9,28,1,8,1,2,0,0,112,5.36,0
11,Alex Goligoski,D,2017-2018,ARI,78,12,23,35,-31,26,3,11,0,0,3,1,119,10.08,0
12,Alex Goligoski,D,2018-2019,ARI,76,3,24,27,-7,16,1,7,0,2,0,0,102,2.94,100
13,Alex Goligoski,D,2019-2020,ARI,70,4,28,32,8,24,2,11,0,0,0,0,101,4,0
14,Alex Goligoski,D,2020-2021,ARI,56,3,19,22,2,14,0,7,0,0,0,0,72,4.2,0
15,Alex Goligoski,D,2021-2022,MIN,72,2,28,30,41,34,0,4,0,0,0,0,80,2.5,0
16,Alex Goligoski,D,2022-2023,MIN,15,1,2,3,-3,0,0,0,0,0,1,1,25,4,0
