,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jared Spurgeon,D,2010-2011,MIN,53,4,8,12,-1,2,2,6,0,0,1,0,38,10.53,0
1,Jared Spurgeon,D,2011-2012,MIN,70,3,20,23,-4,6,2,12,0,0,1,0,92,3.26,0
2,Jared Spurgeon,D,2012-2013,MIN,39,5,10,15,1,4,4,7,0,0,2,0,67,7.46,0
3,Jared Spurgeon,D,2013-2014,MIN,67,5,21,26,15,16,2,7,0,0,1,0,91,5.49,0
4,Jared Spurgeon,D,2014-2015,MIN,66,9,16,25,3,6,3,6,0,0,2,0,128,7.03,0
5,Jared Spurgeon,D,2015-2016,MIN,77,11,18,29,11,14,5,13,0,3,2,0,122,9.02,0
6,Jared Spurgeon,D,2016-2017,MIN,76,10,28,38,33,20,1,5,0,1,2,1,144,6.94,0
7,Jared Spurgeon,D,2017-2018,MIN,61,9,28,37,-6,8,3,13,0,0,2,1,110,8.18,0
8,Jared Spurgeon,D,2018-2019,MIN,82,14,29,43,-1,20,4,11,0,1,0,0,152,9.21,100
9,Jared Spurgeon,D,2019-2020,MIN,62,12,20,32,-1,18,3,13,0,0,2,0,112,10.7,0
10,Jared Spurgeon,D,2020-2021,MIN,54,7,18,25,-2,6,3,9,0,0,0,0,94,7.4,0
11,Jared Spurgeon,D,2021-2022,MIN,65,10,30,40,32,10,0,14,0,0,2,2,116,8.6,0
12,Jared Spurgeon,D,2022-2023,MIN,33,3,11,14,14,10,0,2,0,1,1,0,58,5.2,0
