,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jon Merrill,D,2013-2014,NJD,52,2,9,11,-3,12,0,2,0,0,2,1,45,4.44,0
1,Jon Merrill,D,2014-2015,NJD,66,2,12,14,-14,24,2,4,0,1,0,0,47,4.26,0
2,Jon Merrill,D,2015-2016,NJD,47,1,4,5,-15,28,0,1,0,0,1,0,30,3.33,0
3,Jon Merrill,D,2016-2017,NJD,51,1,5,6,-9,24,0,0,0,0,0,0,48,2.08,0
4,Jon Merrill,D,2017-2018,VGK,34,1,2,3,7,22,0,0,0,0,1,0,30,3.33,0
5,Jon Merrill,D,2018-2019,VGK,57,3,12,15,16,53,0,0,1,1,0,0,72,4.17,0
6,Jon Merrill,D,2019-2020,VGK,49,2,5,7,9,32,0,0,0,1,0,0,37,5.4,0
7,Jon Merrill,D,2020-2021,DET,36,0,5,5,2,12,0,0,0,0,0,0,35,0,0
8,Jon Merrill,D,2020-2021,MTL,13,0,0,0,-11,4,0,0,0,0,0,0,6,0,0
9,Jon Merrill,D,2021-2022,MIN,69,4,16,20,15,22,0,0,0,0,0,0,59,6.8,0
10,Jon Merrill,D,2022-2023,MIN,29,1,6,7,0,12,0,0,0,0,0,0,22,4.5,0
