,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mats Zuccarello,RW,2010-2011,NYR,42,6,17,23,3,4,0,9,0,0,2,1,74,8.11,53.33
1,Mats Zuccarello,RW,2011-2012,NYR,10,2,1,3,0,6,1,2,0,0,1,0,10,20,0
2,Mats Zuccarello,RW,2012-2013,NYR,15,3,5,8,10,8,0,1,0,1,0,0,27,11.11,0
3,Mats Zuccarello,RW,2013-2014,NYR,77,19,40,59,11,32,4,17,1,1,4,0,170,11.18,37.5
4,Mats Zuccarello,RW,2014-2015,NYR,78,15,34,49,17,45,0,6,0,0,3,0,154,9.74,43.24
5,Mats Zuccarello,RW,2015-2016,NYR,81,26,35,61,2,34,7,18,0,0,4,1,166,15.66,45.45
6,Mats Zuccarello,RW,2016-2017,NYR,80,15,44,59,15,26,5,14,0,0,3,0,189,7.94,46.15
7,Mats Zuccarello,RW,2017-2018,NYR,80,16,37,53,-10,36,1,17,0,0,3,2,178,8.99,26.25
8,Mats Zuccarello,RW,2018-2019,NYR,46,11,26,37,-11,24,3,14,0,0,1,0,99,11.11,33.33
9,Mats Zuccarello,RW,2018-2019,DAL,2,1,2,3,3,0,0,1,0,0,0,0,5,20,0
10,Mats Zuccarello,RW,2019-2020,MIN,65,15,22,37,-9,18,3,7,0,0,2,0,96,15.6,64.29
11,Mats Zuccarello,RW,2020-2021,MIN,42,11,24,35,9,8,3,6,0,0,0,0,74,14.9,34.38
12,Mats Zuccarello,RW,2021-2022,MIN,70,24,55,79,21,24,7,28,0,0,2,0,159,15.1,38.18
13,Mats Zuccarello,RW,2022-2023,MIN,33,15,22,37,-5,14,6,16,0,0,1,0,96,15.6,35
