,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Hartman,RW,2014-2015,CHI,5,0,0,0,-1,2,0,0,0,0,0,0,8,0,0
1,Ryan Hartman,RW,2015-2016,CHI,3,0,1,1,-1,0,0,0,0,0,0,0,3,0,25
2,Ryan Hartman,RW,2016-2017,CHI,76,19,12,31,13,70,1,1,0,0,4,1,170,11.18,40.32
3,Ryan Hartman,RW,2017-2018,CHI,57,8,17,25,5,58,1,2,0,0,0,0,96,8.33,46.15
4,Ryan Hartman,RW,2017-2018,NSH,21,3,3,6,-4,14,0,0,0,0,2,0,33,9.09,37.5
5,Ryan Hartman,RW,2018-2019,NSH,64,10,10,20,7,44,0,0,0,0,2,0,113,8.85,15.38
6,Ryan Hartman,RW,2018-2019,PHI,19,2,4,6,-6,30,0,0,0,0,0,0,32,6.25,66.67
7,Ryan Hartman,RW,2019-2020,MIN,69,9,11,20,4,69,1,1,0,0,1,0,114,7.9,54.61
8,Ryan Hartman,RW,2020-2021,MIN,51,7,15,22,0,33,0,3,1,2,2,0,74,9.5,41.51
9,Ryan Hartman,RW,2021-2022,MIN,82,34,31,65,31,95,1,8,0,0,7,1,239,14.2,44.84
10,Ryan Hartman,RW,2022-2023,MIN,12,2,4,6,2,18,0,0,0,1,1,0,28,7.1,43.9
