,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Reaves,RW,2010-2011,STL,28,2,2,4,-1,78,0,0,0,0,1,0,16,12.5,0
1,Ryan Reaves,RW,2011-2012,STL,60,3,1,4,0,124,0,0,0,0,1,0,32,9.38,50
2,Ryan Reaves,RW,2012-2013,STL,43,4,2,6,3,79,0,0,0,0,1,0,24,16.67,100
3,Ryan Reaves,RW,2013-2014,STL,63,2,6,8,-1,126,0,0,0,0,0,0,25,8,75
4,Ryan Reaves,RW,2014-2015,STL,81,6,6,12,-3,116,0,0,0,0,1,0,55,10.91,0
5,Ryan Reaves,RW,2015-2016,STL,64,3,1,4,-6,68,0,0,0,0,0,0,31,9.68,50
6,Ryan Reaves,RW,2016-2017,STL,80,7,6,13,4,104,0,0,0,0,1,0,58,12.07,0
7,Ryan Reaves,RW,2017-2018,PIT,58,4,4,8,-9,84,0,0,0,0,1,0,34,11.76,46.67
8,Ryan Reaves,RW,2017-2018,VGK,21,0,2,2,2,10,0,0,0,0,0,0,8,0,53.85
9,Ryan Reaves,RW,2018-2019,VGK,80,9,11,20,1,74,3,3,0,0,2,0,95,9.47,42.55
10,Ryan Reaves,RW,2019-2020,VGK,71,8,7,15,-5,47,0,0,0,0,1,0,61,13.1,46.15
11,Ryan Reaves,RW,2020-2021,VGK,37,1,4,5,0,27,0,0,0,0,0,0,26,3.8,30.77
12,Ryan Reaves,RW,2021-2022,NYR,69,5,8,13,-13,43,0,0,0,0,0,0,44,11.4,50
13,Ryan Reaves,RW,2022-2023,NYR,12,0,0,0,-5,12,0,0,0,0,0,0,3,0,33.33
14,Ryan Reaves,RW,2022-2023,MIN,14,0,4,4,2,7,0,0,0,0,0,0,8,0,25
