,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mike Hoffman,LW,2011-2012,OTT,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1,Mike Hoffman,LW,2012-2013,OTT,3,0,0,0,-1,2,0,0,0,0,0,0,6,0,100
2,Mike Hoffman,LW,2013-2014,OTT,25,3,3,6,-2,2,1,3,0,0,0,0,61,4.92,66.67
3,Mike Hoffman,LW,2014-2015,OTT,79,27,21,48,16,14,1,3,0,0,4,1,199,13.57,50
4,Mike Hoffman,LW,2015-2016,OTT,78,29,30,59,1,18,9,13,0,0,3,1,242,11.98,44.44
5,Mike Hoffman,LW,2016-2017,OTT,74,26,35,61,17,51,13,26,0,0,8,1,224,11.61,57.14
6,Mike Hoffman,LW,2017-2018,OTT,82,22,34,56,-20,32,8,21,0,0,5,3,257,8.56,55
7,Mike Hoffman,LW,2018-2019,FLA,82,36,34,70,-24,30,17,35,0,0,6,3,253,14.23,34.21
8,Mike Hoffman,LW,2019-2020,FLA,69,29,30,59,-5,28,11,21,0,0,3,0,214,13.6,46.67
9,Mike Hoffman,LW,2020-2021,STL,52,17,19,36,2,10,7,17,0,0,3,2,113,15,66.67
10,Mike Hoffman,LW,2021-2022,MTL,67,15,20,35,-24,32,4,13,0,0,3,0,154,9.7,60
11,Mike Hoffman,LW,2022-2023,MTL,24,7,3,10,3,14,0,1,0,0,2,2,53,13.2,76.92
