,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brendan Smith,D,2011-2012,DET,14,1,6,7,3,13,0,1,0,0,0,0,13,7.69,0
1,Brendan Smith,D,2012-2013,DET,34,0,8,8,1,36,0,2,0,0,0,0,33,0,0
2,Brendan Smith,D,2013-2014,DET,71,5,14,19,-2,68,1,1,0,0,0,0,90,5.56,0
3,Brendan Smith,D,2014-2015,DET,76,4,9,13,-2,68,0,2,0,0,1,0,88,4.55,0
4,Brendan Smith,D,2015-2016,DET,63,3,12,15,1,62,1,1,0,0,0,0,82,3.66,0
5,Brendan Smith,D,2016-2017,DET,33,2,3,5,-1,34,1,3,0,0,1,0,39,5.13,0
6,Brendan Smith,D,2016-2017,NYR,18,1,3,4,2,29,0,0,0,0,0,0,23,4.35,0
7,Brendan Smith,D,2017-2018,NYR,44,1,7,8,2,69,0,1,0,0,0,0,66,1.52,0
8,Brendan Smith,D,2018-2019,NYR,63,4,9,13,-7,71,0,0,0,1,0,0,66,6.06,0
9,Brendan Smith,D,2019-2020,NYR,62,3,5,8,-12,71,0,0,1,2,0,0,45,6.7,100
10,Brendan Smith,D,2020-2021,NYR,48,5,5,10,3,73,0,0,0,0,0,0,58,8.6,0
11,Brendan Smith,D,2021-2022,CAR,45,4,4,8,6,36,0,0,0,0,1,0,63,6.3,0
12,Brendan Smith,D,2022-2023,NJD,33,0,3,3,1,38,0,0,0,0,0,0,34,0,0
