,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Filip Forsberg,LW,2012-2013,NSH,5,0,1,1,-5,0,0,0,0,0,0,0,14,0,0
1,Filip Forsberg,LW,2013-2014,NSH,13,1,4,5,-8,4,1,4,0,0,0,0,20,5,0
2,Filip Forsberg,LW,2014-2015,NSH,82,26,37,63,15,24,6,19,0,0,6,2,237,10.97,42.86
3,Filip Forsberg,LW,2015-2016,NSH,82,33,31,64,1,47,8,23,1,1,3,0,247,13.36,22.22
4,Filip Forsberg,LW,2016-2017,NSH,82,31,27,58,-4,32,3,9,3,3,9,1,234,13.25,27.78
5,Filip Forsberg,LW,2017-2018,NSH,67,26,38,64,27,38,13,21,0,1,6,2,179,14.53,44.44
6,Filip Forsberg,LW,2018-2019,NSH,64,28,22,50,8,26,7,10,2,2,4,1,217,12.9,14.29
7,Filip Forsberg,LW,2019-2020,NSH,63,21,27,48,-7,29,7,14,0,0,2,0,198,10.6,33.33
8,Filip Forsberg,LW,2020-2021,NSH,39,12,20,32,-9,16,3,13,0,0,3,1,129,9.3,37.5
9,Filip Forsberg,LW,2021-2022,NSH,69,42,42,84,12,22,10,27,0,0,8,1,226,18.6,100
10,Filip Forsberg,LW,2022-2023,NSH,32,9,16,25,-7,12,2,10,0,0,1,0,103,8.7,0
