,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mikael Granlund,C,2012-2013,MIN,27,2,6,8,-4,6,0,2,0,0,0,0,36,5.56,47.09
1,Mikael Granlund,C,2013-2014,MIN,63,8,33,41,-3,22,2,12,0,0,2,0,104,7.69,52.6
2,Mikael Granlund,C,2014-2015,MIN,68,8,31,39,17,20,0,8,0,0,2,0,99,8.08,48.37
3,Mikael Granlund,C,2015-2016,MIN,82,13,31,44,-12,20,2,11,1,1,3,0,160,8.13,48.66
4,Mikael Granlund,C,2016-2017,MIN,81,26,43,69,23,12,7,20,3,4,4,1,177,14.69,48.48
5,Mikael Granlund,C,2017-2018,MIN,77,21,46,67,13,18,7,19,1,3,2,0,193,10.88,55.2
6,Mikael Granlund,C,2018-2019,MIN,63,15,34,49,-2,20,2,18,2,2,5,1,160,9.38,44.98
7,Mikael Granlund,C,2018-2019,NSH,16,1,4,5,-6,4,0,2,0,0,0,0,29,3.45,43.59
8,Mikael Granlund,C,2019-2020,NSH,63,17,13,30,-4,28,4,6,1,1,4,2,130,13.1,48.67
9,Mikael Granlund,C,2020-2021,NSH,51,13,14,27,-1,14,5,7,0,0,1,0,74,17.6,51.81
10,Mikael Granlund,C,2021-2022,NSH,80,11,53,64,-9,33,3,28,0,0,3,0,117,9.4,47.18
11,Mikael Granlund,C,2022-2023,NSH,32,4,16,20,-12,4,1,7,0,0,0,0,42,9.5,42.67
