,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nino Niederreiter,RW,2010-2011,NYI,9,1,1,2,-1,8,0,0,0,0,0,0,12,8.33,0
1,Nino Niederreiter,RW,2011-2012,NYI,55,1,0,1,-29,12,0,0,0,0,0,0,74,1.35,0
2,Nino Niederreiter,RW,2013-2014,MIN,81,14,22,36,12,44,2,6,0,0,1,1,143,9.79,26.92
3,Nino Niederreiter,RW,2014-2015,MIN,80,24,13,37,2,28,6,8,1,1,5,0,149,16.11,28.57
4,Nino Niederreiter,RW,2015-2016,MIN,82,20,23,43,9,36,2,5,0,0,1,0,159,12.58,40.74
5,Nino Niederreiter,RW,2016-2017,MIN,82,25,32,57,17,53,8,14,0,0,3,0,186,13.44,0
6,Nino Niederreiter,RW,2017-2018,MIN,63,18,14,32,14,36,7,8,0,0,4,1,133,13.53,45.45
7,Nino Niederreiter,RW,2018-2019,MIN,46,9,14,23,-11,10,3,8,0,0,2,0,81,11.11,62.79
8,Nino Niederreiter,RW,2018-2019,CAR,36,14,16,30,7,20,3,7,0,0,1,0,103,13.59,41.67
9,Nino Niederreiter,RW,2019-2020,CAR,67,11,18,29,-3,42,4,11,0,0,2,0,115,9.6,25
10,Nino Niederreiter,RW,2020-2021,CAR,56,20,14,34,20,29,4,5,0,0,4,0,126,15.9,14.29
11,Nino Niederreiter,RW,2021-2022,CAR,75,24,20,44,29,34,4,5,0,0,5,0,144,16.7,48.72
12,Nino Niederreiter,RW,2022-2023,NSH,32,11,6,17,-7,6,2,3,0,0,1,0,66,16.7,50
