,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Johansen,C,2011-2012,CBJ,67,9,12,21,-2,24,3,4,0,0,3,0,99,9.09,45.12
1,Ryan Johansen,C,2012-2013,CBJ,40,5,7,12,-7,12,0,1,0,0,2,0,84,5.95,51.42
2,Ryan Johansen,C,2013-2014,CBJ,82,33,30,63,3,43,7,20,0,0,5,2,237,13.92,52.78
3,Ryan Johansen,C,2014-2015,CBJ,82,26,45,71,-6,40,7,26,2,2,0,0,202,12.87,51.95
4,Ryan Johansen,C,2015-2016,CBJ,38,6,20,26,-4,25,1,11,0,0,0,0,88,6.82,52.27
5,Ryan Johansen,C,2015-2016,NSH,42,8,26,34,10,36,3,11,0,0,2,0,97,8.25,52.38
6,Ryan Johansen,C,2016-2017,NSH,82,14,47,61,1,60,4,23,1,1,3,0,154,9.09,54.55
7,Ryan Johansen,C,2017-2018,NSH,79,15,39,54,13,78,1,15,0,2,3,0,129,11.63,55.44
8,Ryan Johansen,C,2018-2019,NSH,80,14,50,64,7,42,0,16,1,2,6,1,136,10.29,53.52
9,Ryan Johansen,C,2019-2020,NSH,68,14,22,36,-5,45,3,9,1,1,2,0,101,13.9,53.2
10,Ryan Johansen,C,2020-2021,NSH,48,7,15,22,0,22,3,7,0,0,0,0,67,10.4,51.58
11,Ryan Johansen,C,2021-2022,NSH,79,26,37,63,-2,53,11,24,0,0,6,1,118,22,52.63
12,Ryan Johansen,C,2022-2023,NSH,32,9,9,18,-6,30,3,7,0,0,1,1,48,18.8,60.99
