,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Anders Lee,LW,2012-2013,NYI,2,1,1,2,-3,0,0,0,0,0,0,0,2,50,0
1,Anders Lee,LW,2013-2014,NYI,22,9,5,14,3,14,2,2,0,0,0,0,68,13.24,16.67
2,Anders Lee,LW,2014-2015,NYI,76,25,16,41,9,33,5,6,0,0,6,0,197,12.69,100
3,Anders Lee,LW,2015-2016,NYI,80,15,21,36,-2,51,8,14,0,0,3,0,183,8.2,16.67
4,Anders Lee,LW,2016-2017,NYI,81,34,18,52,9,56,9,14,0,0,6,0,191,17.8,38.89
5,Anders Lee,LW,2017-2018,NYI,82,40,22,62,-25,44,14,22,0,0,2,0,208,19.23,68.75
6,Anders Lee,LW,2018-2019,NYI,82,28,23,51,20,58,10,16,0,0,5,0,204,13.73,48.39
7,Anders Lee,LW,2019-2020,NYI,68,20,23,43,8,47,2,7,0,0,6,1,195,10.3,45.23
8,Anders Lee,LW,2020-2021,NYI,27,12,7,19,11,12,3,4,0,0,3,0,80,15,49.22
9,Anders Lee,LW,2021-2022,NYI,76,28,18,46,-11,34,9,13,0,0,3,0,159,17.6,48.51
10,Anders Lee,LW,2022-2023,NYI,35,11,15,26,5,36,3,8,0,0,1,0,104,10.6,48.15
