,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brock Nelson,C,2013-2014,NYI,72,14,12,26,-10,12,3,7,0,0,1,0,132,10.61,42.35
1,Brock Nelson,C,2014-2015,NYI,82,20,22,42,6,24,10,15,0,0,3,0,190,10.53,44.31
2,Brock Nelson,C,2015-2016,NYI,81,26,14,40,-3,30,3,5,0,0,3,0,165,15.76,47.94
3,Brock Nelson,C,2016-2017,NYI,81,20,25,45,-6,36,1,6,0,1,4,1,173,11.56,43.74
4,Brock Nelson,C,2017-2018,NYI,82,19,16,35,-4,43,4,8,0,0,3,1,138,13.77,48.32
5,Brock Nelson,C,2018-2019,NYI,82,25,28,53,20,28,2,8,1,1,3,1,181,13.81,47.67
6,Brock Nelson,C,2019-2020,NYI,68,26,28,54,6,32,4,7,0,0,5,3,175,14.9,51.77
7,Brock Nelson,C,2020-2021,NYI,56,18,15,33,-5,14,7,9,0,0,4,0,121,14.9,49.36
8,Brock Nelson,C,2021-2022,NYI,72,37,22,59,-5,33,11,14,0,0,5,0,171,21.6,49.38
9,Brock Nelson,C,2022-2023,NYI,35,15,19,34,9,16,3,9,0,0,5,0,100,15,48.44
