,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jean-Gabriel Pageau,C,2012-2013,OTT,9,2,2,4,3,0,0,0,0,0,2,0,14,14.29,48.78
1,Jean-Gabriel Pageau,C,2013-2014,OTT,28,2,0,2,-5,12,0,0,0,0,0,0,31,6.45,47.97
2,Jean-Gabriel Pageau,C,2014-2015,OTT,50,10,9,19,4,9,0,0,2,2,2,0,97,10.31,49.19
3,Jean-Gabriel Pageau,C,2015-2016,OTT,82,19,24,43,17,26,1,2,7,9,2,0,133,14.29,52.17
4,Jean-Gabriel Pageau,C,2016-2017,OTT,82,12,21,33,13,24,0,0,0,2,2,0,169,7.1,54.81
5,Jean-Gabriel Pageau,C,2017-2018,OTT,78,14,15,29,-14,36,1,2,1,1,2,1,147,9.52,51.19
6,Jean-Gabriel Pageau,C,2018-2019,OTT,39,4,8,12,-12,14,0,0,0,0,0,0,83,4.82,53.85
7,Jean-Gabriel Pageau,C,2019-2020,OTT,60,24,16,40,10,32,4,9,3,6,5,1,135,17.8,53.24
8,Jean-Gabriel Pageau,C,2019-2020,NYI,7,2,0,2,-6,17,1,1,0,0,0,0,16,12.5,55.73
9,Jean-Gabriel Pageau,C,2020-2021,NYI,54,14,14,28,10,10,5,8,2,2,3,0,81,17.3,56.66
10,Jean-Gabriel Pageau,C,2021-2022,NYI,77,18,21,39,0,30,4,7,1,4,0,0,126,14.3,55.33
11,Jean-Gabriel Pageau,C,2022-2023,NYI,35,7,12,19,-5,2,4,6,1,1,2,0,64,10.9,56.13
