,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Kyle Palmieri,C,2010-2011,ANA,10,1,0,1,-1,0,0,0,0,0,0,0,10,10,0
1,Kyle Palmieri,C,2011-2012,ANA,18,4,3,7,3,6,0,0,0,0,0,0,34,11.76,100
2,Kyle Palmieri,C,2012-2013,ANA,42,10,11,21,2,9,2,3,0,0,5,0,92,10.87,8.33
3,Kyle Palmieri,C,2013-2014,ANA,71,14,17,31,9,38,0,0,0,0,4,1,147,9.52,39.13
4,Kyle Palmieri,C,2014-2015,ANA,57,14,15,29,-2,37,5,11,0,0,4,1,112,12.5,50
5,Kyle Palmieri,C,2015-2016,NJD,82,30,27,57,3,39,11,23,0,0,4,2,222,13.51,37.04
6,Kyle Palmieri,C,2016-2017,NJD,80,26,27,53,2,46,8,19,1,1,3,0,192,13.54,41.38
7,Kyle Palmieri,C,2017-2018,NJD,62,24,20,44,-1,30,11,23,0,0,5,0,181,13.26,33.33
8,Kyle Palmieri,C,2018-2019,NJD,74,27,23,50,-9,42,11,18,0,0,2,0,224,12.05,27.91
9,Kyle Palmieri,C,2019-2020,NJD,65,25,20,45,-4,41,11,18,0,0,3,1,155,16.1,32.43
10,Kyle Palmieri,C,2020-2021,NJD,34,8,9,17,-2,18,1,5,1,1,2,0,84,9.5,35.29
11,Kyle Palmieri,C,2020-2021,NYI,17,2,2,4,-3,2,1,1,0,0,0,0,31,6.5,66.67
12,Kyle Palmieri,C,2021-2022,NYI,69,15,18,33,0,57,2,6,0,0,6,0,156,9.6,29.41
13,Kyle Palmieri,C,2022-2023,NYI,21,6,3,9,-2,6,1,2,0,0,1,0,39,15.4,37.5
